t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
991060806711193600,730658801200812032,neutral,remain,2018-04-30T21:04:43.000Z,This is how #Brexiteers were radicalised. #Brexit https://t.co/XHhL6uaBta,['brexiteers']
991060806711193600,730658801200812032,neutral,remain,2018-04-30T21:04:43.000Z,This is how #Brexiteers were radicalised. #Brexit https://t.co/XHhL6uaBta,['brexiteers']
991089113112698880,870078654,negative,other,2018-04-30T22:57:12.000Z,"Don't Dream It's Over...

😧😳👉🇬🇧👈 🛡️💎⚔️💖💚💗💞💝🙏🙌👌✌️🐟🌊👋🚪🆓

https://t.co/NSpSfQTlSR

#EUWithdrawalBill #Brexiteers #FreedomWithin #TheywontWIn #Brexit #PapersSay #BattleAhead #Lords #Wales #NorthernIreland  #England #Scotland #FAYouthCup #HeyNow #Islanders",['brexiteers']
991089113112698880,870078654,negative,other,2018-04-30T22:57:12.000Z,"Don't Dream It's Over...

😧😳👉🇬🇧👈 🛡️💎⚔️💖💚💗💞💝🙏🙌👌✌️🐟🌊👋🚪🆓

https://t.co/NSpSfQTlSR

#EUWithdrawalBill #Brexiteers #FreedomWithin #TheywontWIn #Brexit #PapersSay #BattleAhead #Lords #Wales #NorthernIreland  #England #Scotland #FAYouthCup #HeyNow #Islanders",['brexiteers']
991184272500383744,730658801200812032,neutral,remain,2018-05-01T05:15:20.000Z,This is how #Brexiteers were radicalised. #Brexit https://t.co/QSXVxm4qIy,['brexiteers']
991184272500383744,730658801200812032,neutral,remain,2018-05-01T05:15:20.000Z,This is how #Brexiteers were radicalised. #Brexit https://t.co/QSXVxm4qIy,['brexiteers']
991193945769172992,565196759,negative,other,2018-05-01T05:53:46.000Z,Barnier understands how to wind up #Brexiteers the UK MSM pander to his every word as if its fact. Its all part of his games theory stance to be as obnoxious as possible to gain the upper hand. UK #Brexit negotiating team should call his bluff: walk the walk &amp; give him a kickin https://t.co/K4XNS4WdSr,['brexiteers']
991193945769172992,565196759,negative,other,2018-05-01T05:53:46.000Z,Barnier understands how to wind up #Brexiteers the UK MSM pander to his every word as if its fact. Its all part of his games theory stance to be as obnoxious as possible to gain the upper hand. UK #Brexit negotiating team should call his bluff: walk the walk &amp; give him a kickin https://t.co/K4XNS4WdSr,['brexiteers']
991198186545934336,1257158389,positive,other,2018-05-01T06:10:37.000Z,"@skisidjames @annasoubrymp @BrandonLewis #Brexiteers love 'taking back control' &amp; 'sovereignty' 👆(except when it means the #Brexit Cult Train is derailed by constitutional means, then it's 'treason').

F**king Sh*tshower of hypocrisy.",['brexiteers']
991198186545934336,1257158389,positive,other,2018-05-01T06:10:37.000Z,"@skisidjames @annasoubrymp @BrandonLewis #Brexiteers love 'taking back control' &amp; 'sovereignty' 👆(except when it means the #Brexit Cult Train is derailed by constitutional means, then it's 'treason').

F**king Sh*tshower of hypocrisy.",['brexiteers']
