t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1169349461346279424,906576654906032000,positive,other,2019-09-04T20:40:11.000Z,"Cheeky Boris is trying to leave the EU without the deal by dissolving the parliament through general elections.
To deliver Brexit, Boris needs to obtain the consent from the Parliament, but if the parliament is dissolved, the PM is free to do as he pleases!
#stopbrexit",['stopbrexit']
1169349656507310080,868787843510013952,negative,remain,2019-09-04T20:40:58.000Z,Today I voted against a general election. Although the @LibDems would do very well we have put country over party and will not vote for an election until no deal Brexit is off the table #StopBrexit,['stopbrexit']
1169350218556628992,780092711386963840,neutral,other,2019-09-04T20:43:12.000Z,Britain abandons plan to immediately end freedom of movement after Brexit #stopbrexit https://t.co/Kg8OxJzErk,['stopbrexit']
1169350245257502720,824232670435692544,negative,remain,2019-09-04T20:43:18.000Z,Well done @UKLabour. Fig leaf not accepted #BorisJohnson.  #Brexit #StopTheCoup #StopBrexit https://t.co/c262qNuJ7B,['stopbrexit']
1169356347198058496,147118664,negative,other,2019-09-04T21:07:33.000Z,"@carryonkeith @andymoz78 @BBCNews It’s not News at BBC, it’s entertainment. BBC will be another casualty of Brexit, when we #StopBrexit . It is utterly not fit for purpose to deliver News.",['stopbrexit']
1169363262409969664,1868120437,negative,remain,2019-09-04T21:35:02.000Z,"I find it very hard to understand why anybody would vote for this. For that matter, why even risk it?! #StopBrexit No-deal Brexit will bring food shortages despite assurances, warns BRC https://t.co/r2UltForbu",['stopbrexit']
1169365488239034368,30275326,negative,remain,2019-09-04T21:43:52.000Z,"@JolyonMaugham @joannaccherry The quickest way to stop talking about Brexit is to #StopBrexit

#CherryCase #ResistanceBill #StopTheCoup https://t.co/D1fzHZgUXL",['stopbrexit']
1169365718917361664,247767415,positive,remain,2019-09-04T21:44:47.000Z,Are we at last seeing @BBCNews broadcasting what the people feel and want to see? Come on... tell the truth! Its what we expect. #stopthecoup #indywales #stopnodeal #stopbrexit #cymruambyth #brexit,['stopbrexit']
1169374595109068800,3841647081,negative,remain,2019-09-04T22:20:04.000Z,"No-deal Brexit will bring food shortages despite assurances, supermarkets warn #StopTheCoup #StopBrexit  https://t.co/jyOMHd8Bdi",['stopbrexit']
1169375370707165184,379776373,positive,remain,2019-09-04T22:23:08.000Z,"@paulmasonnews No, Paul. #Parliament must first revoke and then reissue Article 50 to the end of the financial year and not allow #Macron and the #ROI to further humiliate the United Kingdom of Great Britain &amp; N.I.
.@PeoplesMomentum .@LibDems
#StopBrexit #Brexit #PeoplesVote",['stopbrexit']
1169377876367593472,874757834952593408,negative,remain,2019-09-04T22:33:06.000Z,"@JamesMelville Make Boris squirm among the mess he created &amp; wait while Cumming's plan becomes more desperate &amp; fails.

See the tissue of Brexit lies turn to dust &amp; feel the tingle of pleasure as Boris's clique try to distance themselves from the fallout.

Only then call #GE2019
#StopBrexit",['stopbrexit']
1169383101081894912,820816186480807808,positive,leave,2019-09-04T22:53:52.000Z,"@costareports @agearan Thank you. Excellent reporting. Just one thing missing: broader context to help the public grasp the common ground between 2016 and Brexit
➡️ Russia

#StopBrexit",['stopbrexit']
1169392344384311296,950111041693810560,neutral,leave,2019-09-04T23:30:35.000Z,"@LordStras You're fighting for the 29 million that didn't vote to leave and many more of the 46 million you represent. Few want the real (honest) consequences of a no deal Brexit. 

Keep up the good work, well done.

#StopBrexit",['stopbrexit']
1169395478544506880,20700101,negative,remain,2019-09-04T23:43:03.000Z,"You can not trust a single word he says. What is the point even to interview him or listen to his statements?
#BorisBots #StopTheCoup #ProtestMap #StopTheCoup #StopBrexit #stopboris #Brexit #PeoplesVote #NotMyPM #indyref2 #BorisBotArmy #Prorogation #PeoplesParliament https://t.co/IJOQNi3Hyl",['stopbrexit']
1169402602292948992,27028904,negative,remain,2019-09-05T00:11:21.000Z,"@KateHoeyMP The ""traitors"" are those trying to drag the country to disaster with the madness of Brexit. #StopBrexit",['stopbrexit']
1169403284404297728,27028904,negative,remain,2019-09-05T00:14:04.000Z,@DavidEdward01 @KateHoeyMP There is nothing democratic or patriotic about dragging the nation to disaster. Brexit is hugely damaging madness. #StopBrexit,['stopbrexit']
1169412391534284800,34233253,positive,other,2019-09-05T00:50:15.000Z,"Brexit’s most important week? Five things that happened on Wednesday.

#StopTheCoup
#StopBrexit
#Brexit  https://t.co/FetNatOTYA",['stopbrexit']
1169423193075007488,1109232140103880832,negative,remain,2019-09-05T01:33:10.000Z,"Boris Johnson loses bid for snap election to break Brexit deadlock
https://t.co/LdNJWdpsHz #StopTheCoup #StopBrexit #RemainAlliance https://t.co/3RMKqJ9npk",['stopbrexit']
1169426940228460544,2856729274,positive,remain,2019-09-05T01:48:04.000Z,Like all good dictorships #BorisJohnson Will blame the EU for failing to get a #NoDealBrexit WHEN in fact it has and always be #boristhedictor fault as there was here #brexit plan from the beginning  #StopTheCoup #StopBrexit #StopBrexitSaveLives https://t.co/eF9JaPza2l,['stopbrexit']
1169473606935601152,1427211871,neutral,other,2019-09-05T04:53:30.000Z,"PM Johnson must resign!
#brexit #StopBrexit #StopBoris https://t.co/tNEH7QFPFl",['stopbrexit']
1169484197691645952,582721240,neutral,other,2019-09-05T05:35:35.000Z,"Yesterday, what most of us have always believed was proved to be true. 
Johnson is an incoherent racist without a 'shred of a Brexit plan' 
He can't be trusted to run a country and his puppetmasters do not care about the good of the UK.
Fuck em and #stopbrexit now!",['stopbrexit']
1169485023675899904,749673114229940224,negative,remain,2019-09-05T05:38:52.000Z,"Brexit: Lords agree to push through bill preventing no deal by end of Friday https://t.co/UTp2CgRycr
#ResistanceBill #StopTheCoup #StopBrexit",['stopbrexit']
