t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
879963503460835328,36895457,positive,other,2017-06-28T07:23:42.000Z,The great British Brexit robbery: how our democracy was hijacked. This article needs reading - again #brexitfraud  https://t.co/PpIdHhoH96,['brexitfraud']
894258519033212928,2759892436,neutral,remain,2017-08-06T18:07:00.000Z,"This is what ""£350m/week brexit saving"" gets NHS patient for dinner. Jacket Potato - with butter! #brexitfraud https://t.co/wqAIGXxV6T",['brexitfraud']
929727134670753792,841397218120748928,positive,leave,2017-11-12T15:06:37.000Z,"@darrengrimes_ Can you please provide yours and @beleaveuk 's privacy policy, as it stood 10 days before the Brexit vote, or confirm that you did not process any personal information. #Brexitfraud",['brexitfraud']
930766044234428416,930764174573080320,positive,other,2017-11-15T11:54:52.000Z,@mmarsh2004 @Becca_March @BruceTADickson @ScottTweeets Becca certainly looks like a Putin bot. #brexit #BrexitRussia #BrexitFraud,['brexitfraud']
932703415779635200,907526503570837632,positive,leave,2017-11-20T20:13:17.000Z,Thank you Electoral Commission! #brexit #russia #brexitfraud https://t.co/PTBmdYLCNW,['brexitfraud']
932947229685485568,841397218120748928,neutral,remain,2017-11-21T12:22:07.000Z,@isaby @BrexitCentral @DavidJonesMP Didn't you hear? Brexit's not happening.  The referendum was fixed by tax-dodging billionaires https://t.co/uXpG6mSyaH #brexitfraud,['brexitfraud']
933847418399059968,14843373,positive,remain,2017-11-23T23:59:09.000Z,#brexitFraud #brexitLies #putin #russian interference @jeremycorbyn voting with the #tories for #brexit supporting the Conservative party on #Brexit #JeremyCorbyn #TheWrongLabourLeader https://t.co/XTg49WbXvS,['brexitfraud']
934026366416314368,14843373,neutral,remain,2017-11-24T11:50:13.000Z,#jeremycorbyn @jeremycorbyn #beTHEoppositionleader oppose #brexit #brexitFraud https://t.co/MY1rnybsb0,['brexitfraud']
934488329025982464,753505894277718016,positive,other,2017-11-25T18:25:54.000Z,"NHS left with £70bn 'Boris-shaped black hole' after Brexit promise, campaigners say https://t.co/3p8I5UbzoJ

#brexitshambles #brexitfraud",['brexitfraud']
936755045512687616,1095136646,negative,other,2017-12-02T00:33:01.000Z,"Who follows from the Brexit campaign?Charges both sides of Atlantic? Perhaps N Faragaski will claim Diplomatic immunity in EU Parliament! #BREXIT #BREXITFRAUD

Bob Spink found guilty of election fraud - https://t.co/bMqdE7Pbug",['brexitfraud']
936812578646384640,841397218120748928,negative,other,2017-12-02T04:21:38.000Z,@Robin_HC1 @godfreydavey @ChukaUmunna Didn't you hear? We're not leaving as Brexit has no mandate. The referendum was rigged by tax-dodging billionaires #brexitfraud,['brexitfraud']
938400567986180096,14843373,negative,other,2017-12-06T13:31:44.000Z,#brexit #brexitFraud #resign #NewBrexitReferendum #toriesOut where is #theOpisition ?@jeremycorbyn #theWrongLeader https://t.co/90jsZGnDZT,['brexitfraud']
940385540268068864,14843373,neutral,remain,2017-12-12T00:59:18.000Z,#brexit #brexitCatasthrophe for the #nextUKgeneration #brexitFraud #putin https://t.co/qnK3SXVfE8,['brexitfraud']
942019463238610944,14843373,neutral,other,2017-12-16T13:11:56.000Z,"#brexit #brexitFraud  #brexitFascism #putin  "" Jacob Rees-Mogg's meeting with Steve Bannon is proof that the ideals of fascism are being normalised in Britain "" #JacobReesMogg #SteveBannon https://t.co/IJItFvyGJi",['brexitfraud']
