t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1170457525449297920,265962961,negative,remain,2019-09-07T22:03:14.000Z,"Boris Johnson podría ser condenado a prisión si no retrasa el Brexit
#Spanishpress #ToryBrexitShambles #NoDealBreixt https://t.co/JKkX7hFP0b",['torybrexitshambles']
1170591633676611584,2310366348,negative,remain,2019-09-08T06:56:08.000Z,"Scottish Tories revolt against Boris Johnson's handling of Brexit https://t.co/PcZKic9IYd
Confirmation, if confirmation was needed, that @ScotTories ARE revolting 
#TorySleaze #ToryCorruption #ToryGreed #ToryBrexitShambles",['torybrexitshambles']
1170595955076403200,1170347196769849344,positive,other,2019-09-08T07:13:18.000Z,"Excellent article giving a simply, recognisable perspective on the Tory mess from—what was once—the inside #Brexit #BorisJohnson #ToryBrexitShambles https://t.co/DyBBKbbWyI",['torybrexitshambles']
1170617590462349312,134939868,negative,remain,2019-09-08T08:39:17.000Z,"I’m a #Remainer so it gives me no joy to write this... Isn’t the next move, @JohnRentoul, getting a lowly MP from each party to put up @theresa_may’s deal again, get it thru, then have a post-#brexit election right away? #ToryShambles #BrexitShambles #ToryBrexitShambles",['torybrexitshambles']
1172235090732232704,1103672605561761792,positive,leave,2019-09-12T19:46:39.000Z,@YoungTories4PV @BorisJohnson #ToryBrexitShambles #UtterChaos @Conservatives #Thereisnogoodbrexitoutcome Brexit is fundamentally anti-British against UK strategic &amp; economic best interests. UK helped create 28 nation market alliance with £15.47Trn GDP &amp; 2nd largest global economy we should be proud #RevokeA50,['torybrexitshambles']
1175714591336218624,1103672605561761792,positive,remain,2019-09-22T10:12:56.000Z,"@BremainInSpain Nice of Mr Gove to say that @michaelgove if UK does leave the EU no UK voters will vote for @Conservatives #untrustworthy #reckless #ToryBrexitShambles Brexit is self-imposed economic decline, fundamentally anti-British against UK strategic &amp; economic best interests #MakeitStop",['torybrexitshambles']
1177070995443765248,838458732493295616,negative,other,2019-09-26T04:02:48.000Z,"The Mail headline ""Give us an Election Now"" and Corbyn and the establishment holding up #brexit was carried out by interviewing 1011 people
This is the irresponsible rightwing media we are up against.
#NoDealBrexit #JohnsonMustGo #BrexitShambles #toryshambles #ToryBrexitShambles https://t.co/TpqLQLGigl",['torybrexitshambles']
1177120180004171776,72274364,negative,leave,2019-09-26T07:18:15.000Z,"We shouldn't be surprised @BorisJohnson twisted #JoCox's murder to further his #Brexit agenda. This man lied to the Queen to circumvent democracy. Right we are disgusted however, as this kind of truth twisting cannot become normalised. #ToryBrexitShambles  https://t.co/lCbeBZHqLM",['torybrexitshambles']
1177148729360572416,265962961,negative,other,2019-09-26T09:11:42.000Z,"Intervention by @PeterGrantMP
during urgent questions 
#ExtensionArt50 #ToryBrexitShambles #Brexit https://t.co/DL30vuvadM",['torybrexitshambles']
1177255438154436608,838458732493295616,neutral,other,2019-09-26T16:15:43.000Z,Somebody has the tell the @Conservatives that it wasn't just the Labour and opposition that voted against the previous #brexit bills. Their Leader of the HofC was the leader of the #tory #ERG that voted against all the Bill's. #torychaos #toryshambles #ToryBrexitShambles,['torybrexitshambles']
