t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1051514451931873280,974019358900084736,negative,leave,2018-10-14T16:45:56.000Z,"@Anna_Soubry Nonsense. How come every country on earth can be self-governing, apart from this one? The ultimate irony is that we granted independence to a third of the world and yet you say we can’t grant it to ourselves! #Brexit #Brexitforever #EUgameover",['brexitforever']
1051514451931873280,974019358900084736,negative,leave,2018-10-14T16:45:56.000Z,"@Anna_Soubry Nonsense. How come every country on earth can be self-governing, apart from this one? The ultimate irony is that we granted independence to a third of the world and yet you say we can’t grant it to ourselves! #Brexit #Brexitforever #EUgameover",['brexitforever']
1051790256352182272,974019358900084736,negative,other,2018-10-15T11:01:53.000Z,@campbellclaret @peoplesvote_uk It’s very odd that you don’t like the referendum result ... so you propose a .. referendum? #Brexit #Brexitforever #EUgameover,['brexitforever']
1051790256352182272,974019358900084736,negative,other,2018-10-15T11:01:53.000Z,@campbellclaret @peoplesvote_uk It’s very odd that you don’t like the referendum result ... so you propose a .. referendum? #Brexit #Brexitforever #EUgameover,['brexitforever']
1051801823269572608,974019358900084736,positive,other,2018-10-15T11:47:50.000Z,@FlashMob4EU @MichelBarnier @simoncoveney @DominicRaab @Europarl_EN Nonsense. Majority wins and we voted to Leave. #Brexit #Brexitforever #EUgameover,['brexitforever']
1051801823269572608,974019358900084736,positive,other,2018-10-15T11:47:50.000Z,@FlashMob4EU @MichelBarnier @simoncoveney @DominicRaab @Europarl_EN Nonsense. Majority wins and we voted to Leave. #Brexit #Brexitforever #EUgameover,['brexitforever']
1051802100332679168,974019358900084736,neutral,leave,2018-10-15T11:48:56.000Z,@FlashMob4EU @DagenhamMKIII @MichelBarnier @simoncoveney @DominicRaab @Europarl_EN Foreign interference from Obama invalidates the Remain Campaign. #Brexit #Brexitforever #EUgameover,['brexitforever']
1051802100332679168,974019358900084736,neutral,leave,2018-10-15T11:48:56.000Z,@FlashMob4EU @DagenhamMKIII @MichelBarnier @simoncoveney @DominicRaab @Europarl_EN Foreign interference from Obama invalidates the Remain Campaign. #Brexit #Brexitforever #EUgameover,['brexitforever']
1051802496857976832,974019358900084736,negative,other,2018-10-15T11:50:31.000Z,"@ArsenalFCXI @MichelBarnier @DominicRaab @Europarl_EN What? All the major players on both sides said we would leave the Single Market and Customs Union, including Cameron, Osbourne and Leadsom, to name but a few. #Brexit #Brexitforever #EUgameover",['brexitforever']
1051802496857976832,974019358900084736,negative,other,2018-10-15T11:50:31.000Z,"@ArsenalFCXI @MichelBarnier @DominicRaab @Europarl_EN What? All the major players on both sides said we would leave the Single Market and Customs Union, including Cameron, Osbourne and Leadsom, to name but a few. #Brexit #Brexitforever #EUgameover",['brexitforever']
1052202848430301184,974019358900084736,negative,other,2018-10-16T14:21:22.000Z,@eucopresident @sebastiankurz @VDombrovskis @PierreGattaz @VisentiniLuca Fingers crossed for no deal. #Brexit #Brexitforever #EUgameover,['brexitforever']
1052202848430301184,974019358900084736,negative,other,2018-10-16T14:21:22.000Z,@eucopresident @sebastiankurz @VDombrovskis @PierreGattaz @VisentiniLuca Fingers crossed for no deal. #Brexit #Brexitforever #EUgameover,['brexitforever']
1052203201833918464,974019358900084736,neutral,other,2018-10-16T14:22:46.000Z,@tranceketeer @eucopresident @sebastiankurz @VDombrovskis @PierreGattaz @VisentiniLuca History will show him to be a delusional federalist that help lead a continent to its ruin. #Brexit #Brexitforever #EUgameover,['brexitforever']
1052203201833918464,974019358900084736,neutral,other,2018-10-16T14:22:46.000Z,@tranceketeer @eucopresident @sebastiankurz @VDombrovskis @PierreGattaz @VisentiniLuca History will show him to be a delusional federalist that help lead a continent to its ruin. #Brexit #Brexitforever #EUgameover,['brexitforever']
1052208330779840512,974019358900084736,positive,leave,2018-10-16T14:43:09.000Z,"@ChukaUmunna @FFSake_ You need to catch up with events. We voted leave in 2016. We had to wait 42 years for that vote. If you think we’re having another vote before implementing the last one just because you didn’t like the result, think again. You can wait 42 years too. #Brexit #Brexitforever",['brexitforever']
1052208330779840512,974019358900084736,positive,leave,2018-10-16T14:43:09.000Z,"@ChukaUmunna @FFSake_ You need to catch up with events. We voted leave in 2016. We had to wait 42 years for that vote. If you think we’re having another vote before implementing the last one just because you didn’t like the result, think again. You can wait 42 years too. #Brexit #Brexitforever",['brexitforever']
1052209585522704384,974019358900084736,neutral,leave,2018-10-16T14:48:08.000Z,@TheNewEuropean Is she trying to say that Britain should not become an independent country just because Irish Republicans ‘might’ take up arms again? How could any Briton ever tolerate such a stance? #Brexit #Brexitforever #EUgameover,['brexitforever']
1052209585522704384,974019358900084736,neutral,leave,2018-10-16T14:48:08.000Z,@TheNewEuropean Is she trying to say that Britain should not become an independent country just because Irish Republicans ‘might’ take up arms again? How could any Briton ever tolerate such a stance? #Brexit #Brexitforever #EUgameover,['brexitforever']
1052223625523159040,974019358900084736,neutral,leave,2018-10-16T15:43:56.000Z,@inselratte @tranceketeer @eucopresident @sebastiankurz @VDombrovskis @PierreGattaz @VisentiniLuca The wagon will roll on in the same direction it has for 50 years. It never retreats. #Brexit #Brexitforever,['brexitforever']
1052223625523159040,974019358900084736,neutral,leave,2018-10-16T15:43:56.000Z,@inselratte @tranceketeer @eucopresident @sebastiankurz @VDombrovskis @PierreGattaz @VisentiniLuca The wagon will roll on in the same direction it has for 50 years. It never retreats. #Brexit #Brexitforever,['brexitforever']
1052231417848041472,974019358900084736,positive,leave,2018-10-16T16:14:54.000Z,"@andreajenkyns Keep up the good work, woman. You’ve got the Federalists on the run. #Brexit #Brexitforever #EUgameover",['brexitforever']
1052231417848041472,974019358900084736,positive,leave,2018-10-16T16:14:54.000Z,"@andreajenkyns Keep up the good work, woman. You’ve got the Federalists on the run. #Brexit #Brexitforever #EUgameover",['brexitforever']
1052233712551809024,974019358900084736,positive,leave,2018-10-16T16:24:01.000Z,@BrexitCentral @eucopresident Scrap the last bit. Go straight to No Deal please. #Brexit #Brexitforever #EUgameover,['brexitforever']
1052233712551809024,974019358900084736,positive,leave,2018-10-16T16:24:01.000Z,@BrexitCentral @eucopresident Scrap the last bit. Go straight to No Deal please. #Brexit #Brexitforever #EUgameover,['brexitforever']
1052236452367622144,974019358900084736,neutral,other,2018-10-16T16:34:54.000Z,@chunkymark Capitalist. #Brexit #Brexitforever #EUgameover,['brexitforever']
1052236452367622144,974019358900084736,neutral,other,2018-10-16T16:34:54.000Z,@chunkymark Capitalist. #Brexit #Brexitforever #EUgameover,['brexitforever']
1052248493249781760,974019358900084736,negative,remain,2018-10-16T17:22:45.000Z,@peoplesvote_uk This moron cost us £50billion through the ERM disaster and condemned the tories to over 10 years in the wilderness. Does he really think anyone’s listening? #Brexit #Brexitforever #EUgameover,['brexitforever']
1052248493249781760,974019358900084736,negative,remain,2018-10-16T17:22:45.000Z,@peoplesvote_uk This moron cost us £50billion through the ERM disaster and condemned the tories to over 10 years in the wilderness. Does he really think anyone’s listening? #Brexit #Brexitforever #EUgameover,['brexitforever']
1052249239869411328,974019358900084736,neutral,other,2018-10-16T17:25:43.000Z,@judi_sutherland @BISHOPJishop @NickyMorgan01 Do you really believe the EU will end up on the right side of history? I suggest you read some history books on previous plans to unite Europe. #Brexit #Brexitforever #EUgameover,['brexitforever']
1052249239869411328,974019358900084736,neutral,other,2018-10-16T17:25:43.000Z,@judi_sutherland @BISHOPJishop @NickyMorgan01 Do you really believe the EU will end up on the right side of history? I suggest you read some history books on previous plans to unite Europe. #Brexit #Brexitforever #EUgameover,['brexitforever']
1052474099681902592,974019358900084736,positive,other,2018-10-17T08:19:14.000Z,@TheNewEuropean Dream on. We’re leaving. #Brexit #Brexitforever #EUgameover,['brexitforever']
1052474099681902592,974019358900084736,positive,other,2018-10-17T08:19:14.000Z,@TheNewEuropean Dream on. We’re leaving. #Brexit #Brexitforever #EUgameover,['brexitforever']
1052474318758838272,974019358900084736,negative,other,2018-10-17T08:20:06.000Z,@guyverhofstadt @EurobarometerEU Opinion polls are often wrong - as we found out in 2016! #Brexit #Brexitforever #EUgameover,['brexitforever']
1052474318758838272,974019358900084736,negative,other,2018-10-17T08:20:06.000Z,@guyverhofstadt @EurobarometerEU Opinion polls are often wrong - as we found out in 2016! #Brexit #Brexitforever #EUgameover,['brexitforever']
1052489453187584000,974019358900084736,negative,other,2018-10-17T09:20:14.000Z,"@Femi_Sorry @MarionVanR Lame. Britishness has long been about NOT being European in the political sense. We are of course still in Europe, just not in the EU#Brexit #Brexitforever #EUgameover",['brexitforever']
1052489453187584000,974019358900084736,negative,other,2018-10-17T09:20:14.000Z,"@Femi_Sorry @MarionVanR Lame. Britishness has long been about NOT being European in the political sense. We are of course still in Europe, just not in the EU#Brexit #Brexitforever #EUgameover",['brexitforever']
1052565627955744768,974019358900084736,positive,other,2018-10-17T14:22:56.000Z,@Femi_Sorry We haven’t even started Brexit yet so how can you objectively judge it?! As we had to wait 42 years to pass judgement on the EU it is only fair that you wait 42 years to judge Brexit. #Brexit #Brexitforever #EUgameover,['brexitforever']
1052565627955744768,974019358900084736,positive,other,2018-10-17T14:22:56.000Z,@Femi_Sorry We haven’t even started Brexit yet so how can you objectively judge it?! As we had to wait 42 years to pass judgement on the EU it is only fair that you wait 42 years to judge Brexit. #Brexit #Brexitforever #EUgameover,['brexitforever']
1052594921226555392,974019358900084736,neutral,leave,2018-10-17T16:19:20.000Z,"‘Germany calling, Germany calling....’ #Brexit #Brexitforever #EUgameover https://t.co/Zk1iGFCTZ4",['brexitforever']
1052594921226555392,974019358900084736,neutral,leave,2018-10-17T16:19:20.000Z,"‘Germany calling, Germany calling....’ #Brexit #Brexitforever #EUgameover https://t.co/Zk1iGFCTZ4",['brexitforever']
1052595187233554432,974019358900084736,negative,leave,2018-10-17T16:20:23.000Z,@RoboScorpion @Femi_Sorry That simply won’t do. Sovereignty shared is Sovereignty lost. #Brexit #Brexitforever #EUgameover,['brexitforever']
1052595187233554432,974019358900084736,negative,leave,2018-10-17T16:20:23.000Z,@RoboScorpion @Femi_Sorry That simply won’t do. Sovereignty shared is Sovereignty lost. #Brexit #Brexitforever #EUgameover,['brexitforever']
1052847986340966400,974019358900084736,negative,other,2018-10-18T09:04:55.000Z,@nealerichmond @IrishTimes @EPP @IrishTimesWorld @FineGael @SiCarswell @Jo_Coburn @Peston @faisalislam @asabenn @lisaocarroll Just arrest murderers in the usual fashion. The threat of violence can’t be an excuse not to leave the EU. #Brexit #Brexitforever. #EUgameover,['brexitforever']
1052847986340966400,974019358900084736,negative,other,2018-10-18T09:04:55.000Z,@nealerichmond @IrishTimes @EPP @IrishTimesWorld @FineGael @SiCarswell @Jo_Coburn @Peston @faisalislam @asabenn @lisaocarroll Just arrest murderers in the usual fashion. The threat of violence can’t be an excuse not to leave the EU. #Brexit #Brexitforever. #EUgameover,['brexitforever']
1052896652527308800,974019358900084736,negative,leave,2018-10-18T12:18:18.000Z,@Anna_Soubry Towards the later years of her life she clearly stated that Britain must start the process of leaving the EU. It is the EU that betrayed her and us. #Brexit #Brexitforever #EUgameover,['brexitforever']
1052896652527308800,974019358900084736,negative,leave,2018-10-18T12:18:18.000Z,@Anna_Soubry Towards the later years of her life she clearly stated that Britain must start the process of leaving the EU. It is the EU that betrayed her and us. #Brexit #Brexitforever #EUgameover,['brexitforever']
1052914285393977344,974019358900084736,positive,remain,2018-10-18T13:28:22.000Z,"@peterandann @cazzacaz63 @Anna_Soubry Na, that was much later. Also refer to her famous Bruges speech a decade before that. #Brexit #Brexitforever #EUgameover",['brexitforever']
1052914285393977344,974019358900084736,positive,remain,2018-10-18T13:28:22.000Z,"@peterandann @cazzacaz63 @Anna_Soubry Na, that was much later. Also refer to her famous Bruges speech a decade before that. #Brexit #Brexitforever #EUgameover",['brexitforever']
1053449753051185152,974019358900084736,positive,other,2018-10-20T00:56:07.000Z,"@peoplesvote_uk @SadiqKhan Don’t worry, they’ll become more anti-EU as they older and learn more about life. #Brexit #Brexitforever #EUgameover",['brexitforever']
1053449753051185152,974019358900084736,positive,other,2018-10-20T00:56:07.000Z,"@peoplesvote_uk @SadiqKhan Don’t worry, they’ll become more anti-EU as they older and learn more about life. #Brexit #Brexitforever #EUgameover",['brexitforever']
1053554173374017536,974019358900084736,negative,other,2018-10-20T07:51:03.000Z,@Anna_Soubry @NottPeoplesVote @peoplesvote_uk Federalism is a crime. #Brexit #Brexitforever #EUgameover,['brexitforever']
1053554173374017536,974019358900084736,negative,other,2018-10-20T07:51:03.000Z,@Anna_Soubry @NottPeoplesVote @peoplesvote_uk Federalism is a crime. #Brexit #Brexitforever #EUgameover,['brexitforever']
1053555616063594496,974019358900084736,negative,leave,2018-10-20T07:56:47.000Z,@campbellclaret @Carra23 @JohnBishop100 @jasonisaacsfans What a waste of diesel. Give the money to charity. #Brexit #Brexitforever #EUgameover,['brexitforever']
1053555616063594496,974019358900084736,negative,leave,2018-10-20T07:56:47.000Z,@campbellclaret @Carra23 @JohnBishop100 @jasonisaacsfans What a waste of diesel. Give the money to charity. #Brexit #Brexitforever #EUgameover,['brexitforever']
1053556561312956416,974019358900084736,negative,other,2018-10-20T08:00:33.000Z,@acgrayling Federalism is a crime. #Brexit #Brexitforever #EUgameover,['brexitforever']
1053556561312956416,974019358900084736,negative,other,2018-10-20T08:00:33.000Z,@acgrayling Federalism is a crime. #Brexit #Brexitforever #EUgameover,['brexitforever']
1053557364975132672,974019358900084736,neutral,remain,2018-10-20T08:03:44.000Z,"@MayorofLondon Sort the constant stabbings our first, then come and tell us you’ve earned the right to get involved in international affairs. #Brexit #Brexitforever #EUgameover",['brexitforever']
1053557364975132672,974019358900084736,neutral,remain,2018-10-20T08:03:44.000Z,"@MayorofLondon Sort the constant stabbings our first, then come and tell us you’ve earned the right to get involved in international affairs. #Brexit #Brexitforever #EUgameover",['brexitforever']
1053557551391010816,974019358900084736,positive,other,2018-10-20T08:04:29.000Z,"@EM4aPeoplesVote @euromove He’s a moron, but sometimes funny. #Brexit #Brexitforever #EUgameover",['brexitforever']
1053557551391010816,974019358900084736,positive,other,2018-10-20T08:04:29.000Z,"@EM4aPeoplesVote @euromove He’s a moron, but sometimes funny. #Brexit #Brexitforever #EUgameover",['brexitforever']
1053557858976088064,974019358900084736,negative,other,2018-10-20T08:05:42.000Z,@MollyMEP @euromove Federalism is a crime. We will defeat the European superstate. #Brexit #Brexitforever #EUgameover,['brexitforever']
1053557858976088064,974019358900084736,negative,other,2018-10-20T08:05:42.000Z,@MollyMEP @euromove Federalism is a crime. We will defeat the European superstate. #Brexit #Brexitforever #EUgameover,['brexitforever']
1053559978487963648,974019358900084736,positive,remain,2018-10-20T08:14:07.000Z,@OFOCBrexit @Femi_Sorry Government papers from the 1970s (released under the 30 year rule) confirm civil service thought that one day we would lose the right to leave. Thank goodness we voted leave when we did. #Brexit #Brexitforever #EUgameover https://t.co/YOuQsqd8xj,['brexitforever']
1053559978487963648,974019358900084736,positive,remain,2018-10-20T08:14:07.000Z,@OFOCBrexit @Femi_Sorry Government papers from the 1970s (released under the 30 year rule) confirm civil service thought that one day we would lose the right to leave. Thank goodness we voted leave when we did. #Brexit #Brexitforever #EUgameover https://t.co/YOuQsqd8xj,['brexitforever']
1053561271331840000,974019358900084736,positive,leave,2018-10-20T08:19:15.000Z,"@OFOCBrexit @Femi_Sorry The ultimate goal of eliminating the power of nation states is well recorded. You Federalists have been completely rumbled, so don’t waste the coach fair. #Brexit #Brexitforever #EUgameover https://t.co/vigBZIi8G1",['brexitforever']
1053561271331840000,974019358900084736,positive,leave,2018-10-20T08:19:15.000Z,"@OFOCBrexit @Femi_Sorry The ultimate goal of eliminating the power of nation states is well recorded. You Federalists have been completely rumbled, so don’t waste the coach fair. #Brexit #Brexitforever #EUgameover https://t.co/vigBZIi8G1",['brexitforever']
1053561670637928448,974019358900084736,neutral,leave,2018-10-20T08:20:51.000Z,@Mysturji @OFOCBrexit @Scientists4EU @Femi_Sorry Mental people too. #Brexit #Brexitforever #EUgamover,['brexitforever']
1053561670637928448,974019358900084736,neutral,leave,2018-10-20T08:20:51.000Z,@Mysturji @OFOCBrexit @Scientists4EU @Femi_Sorry Mental people too. #Brexit #Brexitforever #EUgamover,['brexitforever']
