t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
818437489547497472,350139843,neutral,other,2017-01-09T12:41:17.000Z,Pound falls on #TheresaMay 's Brexit comments She's Proving to be a #Brexiteer at heart - https://t.co/kUtLrl54eU,['brexiteer']
818939841769590784,937019478,positive,leave,2017-01-10T21:57:28.000Z,@iainoverton @JeanneBartram It's as difficult as finding a happy #Brexit-eer. Their bitterness suggests a wrecking mentality.,['brexiteer']
819135298999353344,748864401852145664,negative,other,2017-01-11T10:54:08.000Z,"I challenge any #Brexiteer, &amp; especially any Brexit-supporting MP, to answer the points made here, says @acgrayling https://t.co/Y7ufMbHnVk",['brexiteer']
819135845072588800,802956518828154880,negative,other,2017-01-11T10:56:18.000Z,"#NewBluehand #Bluehand I challenge any #Brexiteer, &amp; especially any Brexit-supporting MP, to answer the points made here, says acgrayling …",['brexiteer']
819198589641621504,937019478,positive,leave,2017-01-11T15:05:38.000Z,#Brexit-eer MP Frank Field would be “very much in favour” of the idea “if we used the money to train *natives*”. Well past his sell-by date. https://t.co/Z7iQmsy5hX,['brexiteer']
819481290852409344,2885705823,positive,remain,2017-01-12T09:48:59.000Z,Good blog for the #Brexiteer who likes an informed view on the perils of a botched #Brexit https://t.co/GPFxBo7r2u,['brexiteer']
819647279959306240,937019478,neutral,remain,2017-01-12T20:48:34.000Z,Henry VIII sounds like a prototype #Brexit-eer. Clueless about money. https://t.co/86cAMBBpDD,['brexiteer']
820316200223772672,28352925,negative,leave,2017-01-14T17:06:37.000Z,"IMO, a big error of judgment.
#Brexit #Brexiteer https://t.co/X1aA8VYluC",['brexiteer']
820336480837103616,937019478,negative,other,2017-01-14T18:27:12.000Z,"#Brexit-eer ""journo"" Carole Malone just called me a bigot for criticizing her saying UK should make #EU's Barnier ""beg"". #Brexit jitters?",['brexiteer']
820535362904879104,1652477690,positive,leave,2017-01-15T07:37:29.000Z,@SkyNews #TeresaMay has a mandate for #Brexit &amp; leading us outside Single Market &amp; Customs Union. I &amp; every other #Brexiteer voted for it.,['brexiteer']
820589348605333504,937019478,neutral,other,2017-01-15T11:12:01.000Z,@damocrat It's a media trend. IDS on #Brexit on BBC radio this morning. Dotty #Brexit-eer Carole Malone on @RidgeOnSunday.,['brexiteer']
820943351012880384,495676860,negative,remain,2017-01-16T10:38:41.000Z,The pro #brexit elites must love how easily ignorant #Brexiteer zealots can be manipulated into defending&amp; promoting #brexitshambles.,['brexiteer']
821293380621701120,4804692383,positive,other,2017-01-17T09:49:35.000Z,It looks like the outcome of the #EUref will be fully delivered - very excited #Brexit-eer here! 🇬🇧 https://t.co/Mo56LjZeXX,['brexiteer']
822034519716982784,45992113,neutral,leave,2017-01-19T10:54:36.000Z,.@Holbornlolz the power of national cult behind #Brexiteer anti-European sentiment and delusion #Brexit https://t.co/QdhmqVAOAd,['brexiteer']
822194846421155840,790183033454419840,negative,leave,2017-01-19T21:31:41.000Z,@GoodwinMJ Can you write the source? ANOTHER FAKE NEWS? You #brexiteer are criminals. Stop #brexit #nexit nonsense. https://t.co/mzTP5Be421,['brexiteer']
823483133106458624,937019478,negative,other,2017-01-23T10:50:53.000Z,"@jdupdater2 Only a desperate #Brexit-eer would not recognize that #Trump's USA is going to be protectionist, even towards UK. Dangerous.",['brexiteer']
823920748968509440,18282606,positive,other,2017-01-24T15:49:48.000Z,"#Brexit, Law and Revolution. Delighted to welcome #brexiteer @Adrian_Hilton @ChristianToday https://t.co/9iGiEsR5dn https://t.co/zosFewZHMl",['brexiteer']
823976981532463104,20920537,neutral,other,2017-01-24T19:33:15.000Z,The latest The Christian Business Daily! https://t.co/R6bg61OtT1 #brexit #brexiteer,['brexiteer']
824232660373340160,2217133952,positive,other,2017-01-25T12:29:14.000Z,Brilliant! An explanation of the #SupremeCourt judgement on #Article50 and #Brexit so simple that even a #Brexiteer can get it. #Brexitmeans https://t.co/SGqLn1R8x0,['brexiteer']
824239982999171072,45518682,neutral,other,2017-01-25T12:58:20.000Z,The latest SHALOM TIMES! https://t.co/ayIVExycLe #brexit #brexiteer,['brexiteer']
824704007918780416,749539262903746560,positive,other,2017-01-26T19:42:12.000Z,@LBC #Brexit.eer in Chief - Making America Great Again! https://t.co/K39Qzmy3fz,['brexiteer']
826461752674099200,821675481904934912,positive,other,2017-01-31T16:06:51.000Z,Donald Trump should make a State Visit to the United Kingdom. #trump #petition #UK #brexiteer #brexit https://t.co/2wZX5PPjiN https://t.co/1o8VGIfoDz,['brexiteer']
826844956849430528,351065029,neutral,other,2017-02-01T17:29:34.000Z,This is priceless which every #brexiteer should read!!#brexit #brexitbill #article50 #PMQ #whitepaper #EUcitizens https://t.co/x0l0veNrlq,['brexiteer']
