t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1087460250557599744,63094326,negative,other,2019-01-21T21:21:42.000Z,"@YvetteCooperMP Government has wasted 2.5 years trying to deliver a Brexit that turns out to be unattainable because it was based on lies and false promises. No need for more arguments, no need for a second Referendum. Simply #RevokeA50Now and get back to sorting out the real problems",['revokea50now']
1088333455182778368,63094326,negative,other,2019-01-24T07:11:30.000Z,"@YvetteCooperMP This simply prolongs the agony of uncertainty. No need for more arguments, no need for a second Referendum. After 2.5 years it is clear that Brexit in any form is worse than current EU membership. Simply #RevokeA50Now and get back to sorting out the real problems",['revokea50now']
1088398062937096192,63094326,negative,other,2019-01-24T11:28:14.000Z,"@petertimmins3 Government has wasted 2.5 years trying to deliver a Brexit that turns out to be unattainable because it was based on lies and false promises. No need for more arguments, no need for a second Referendum. Simply #RevokeA50Now and get back to sorting out the real problems",['revokea50now']
1089182713448488960,63094326,negative,other,2019-01-26T15:26:09.000Z,"@JMPSimor Government has wasted 2.5 years trying to deliver a Brexit that turns out to be unattainable because it was based on lies and false promises. No need for more arguments, no need for a second Referendum. Simply #RevokeA50Now and get back to sorting out the real problems",['revokea50now']
1089205373272240128,63094326,negative,other,2019-01-26T16:56:12.000Z,"@spoons @mikegalsworthy @Scientists4EU @MadeleinaKay @Andrew_Adonis Government has wasted 2.5 years trying to deliver a Brexit that turns out to be unattainable because it was based on lies and false promises. No need for more arguments, no need for a second Referendum. Simply #RevokeA50Now and get back to sorting out the real problems",['revokea50now']
1089594048069976064,63094326,negative,other,2019-01-27T18:40:39.000Z,"Government has wasted 2.5 years trying to deliver a Brexit that turns out to be unattainable because it was based on lies and false promises. No need for more arguments, no need for a second Referendum. Simply #RevokeA50Now and get back to sorting out the real problems https://t.co/fl4Cj2eJ2r",['revokea50now']
1089783981317545984,63094326,negative,other,2019-01-28T07:15:23.000Z,"Government has wasted 2.5 years trying to deliver a Brexit that turns out to be unattainable because it was based on lies and false promises. No need for more arguments, no need for a second Referendum. Simply #RevokeA50Now and get back to sorting out the real problems https://t.co/BrVFfm6Csn",['revokea50now']
1089784150687711232,63094326,negative,other,2019-01-28T07:16:03.000Z,"Government has wasted 2.5 years trying to deliver a Brexit that turns out to be unattainable because it was based on lies and false promises. No need for more arguments, no need for a second Referendum. Simply #RevokeA50Now and get back to sorting out the real problems https://t.co/eBzNCKkqC4",['revokea50now']
1090882776780410880,166111347,neutral,remain,2019-01-31T08:01:36.000Z,@lisanandy @GGariochlen @itvpeston @UKLabour Labour needs to wake up to the fact 5hat #Brexit us a right wing coup and oppose it. #RevokeA50Now,['revokea50now']
1091251364146094080,868830296212467712,negative,leave,2019-02-01T08:26:14.000Z,"The Tories have massively increased the national debt. Brexit will rob us of any chance of ever repaying it. Even more austerity will be the result, which is part of the reason people were conned into voting leave in the 1st place! #StopBrexitSaveBritain #RevokeA50now #NoMoreLies https://t.co/WGFnR28cUx",['revokea50now']
1094531465281527808,100585991,neutral,remain,2019-02-10T09:40:11.000Z,Only way for Brexit to go away is #RevokeA50NOW just #stopbrexit https://t.co/Za0Aqij9CF,['revokea50now']
1098189135653863424,150999674,negative,remain,2019-02-20T11:54:27.000Z,"@RichardBurgon @helenmallam Actually I think that it’s fair to say that this is just symptomatic of quite how pissed off the country has become with #Brexit

#RevokeA50NOW",['revokea50now']
1102258058124845056,703216260386058240,positive,remain,2019-03-03T17:22:54.000Z,@Mike_Fabricant 😂😂😂 Oh thank you! It's so depressing living in these destructive Brexit-hasn't-even-happened-yet times; I needed a good belly laugh! #RevokeA50Now,['revokea50now']
1102589845304733696,2791788518,negative,leave,2019-03-04T15:21:18.000Z,"@LabourfutureUK Your position on the sh1tshow which is Brexit, is to enable a corrupt Government to railroad the nation, aided and abetted by you! There is NO such thing as a good Brexit. Stop pretending and start opposing! #RevokeA50Now #RevokeRemainRebuild",['revokea50now']
1103636374215933952,792782917638455296,neutral,remain,2019-03-07T12:39:50.000Z,#StopBrexitSaveBritain #RevokeA50NOW The endless Brexit lies have left us in an Orwellian nightmare https://t.co/wxWgzbNiSm via @politics_co_uk,['revokea50now']
1105871304895410176,893068471118024704,negative,other,2019-03-13T16:40:39.000Z,"No deal = crash out, no TAs, nothing  
May’s deal = already death 
No Brexit = Status quo = Remain
#REVOKEA50NOW https://t.co/pK7gAWsHLh",['revokea50now']
1106056516564602880,228036475,neutral,leave,2019-03-14T04:56:37.000Z,@AdamBienkov That's exactly what Brexit is: self-flagellation. #RevokeA50Now,['revokea50now']
1106090500103258112,1158193640,negative,remain,2019-03-14T07:11:40.000Z,"Brexiters, you’ve had more than your chance and so much more respect than you deserved: £Bns spent, lives upended, jobs gone, rights threatened, reputation damaged, division set in... 
Truth is.... *real* Brexit is shit and no-one should want that for our country.
#RevokeA50Now",['revokea50now']
1106127385395646464,30446317,positive,other,2019-03-14T09:38:14.000Z,".@JeremyVineOn5 We already have the best deal!
Cancel Brexit.
#RevokeA50Now",['revokea50now']
1106162293941981184,51039347,positive,other,2019-03-14T11:56:57.000Z,"@peoplesvotecov @createmichael @Geoffrey4CovNW @jimforcovsouth @RichardBenyonMP - thank you for voting to rule out a no-deal Brexit last night,which would have been a disaster for #Newbury.  Now we really need you to #RevokeA50Now to endorse your view then a #peoplesvote to find out where people want to go now.",['revokea50now']
1106170723436060672,37779837,negative,other,2019-03-14T12:30:26.000Z,@LukeGrahamMP voted to inflict a no deal brexit on Scotland.  Disgusting.  #RevokeA50Now #BrexitMayhem #PutItToThePeople #justmakeitstop https://t.co/Umum6c0AQd,['revokea50now']
1106172196509102080,902120481133916032,negative,remain,2019-03-14T12:36:17.000Z,"48% say stay in the EU
The only thing left is No Brexit.

#RevokeA50Now https://t.co/SgxO09F5AY",['revokea50now']
1106175004587315200,188289863,negative,other,2019-03-14T12:47:27.000Z,"@thomasbrake Another advantage: 
By revoking Article 50 and remaining, all of this is over. 
If we continue with May's Withdrawal Agreement, or try to get agreement to another form of Brexit, the negotiations will continue for years. #MakeItStop #RevokeA50Now",['revokea50now']
1106225223488159744,486027045,positive,other,2019-03-14T16:07:00.000Z,"#TheresaMay is the worst PM ever. 
#Brexit #PeoplesVote #RevokeA50Now 

“We're not having a 2nd referendum. The will of the people is clear. You can't just keep have referendums until you're happy with the result,”

 Says Theresa May as she submits her deal FOR THE 3rd TIME. https://t.co/aBmCo4cOkD",['revokea50now']
1106233123694620672,600162472,negative,leave,2019-03-14T16:38:24.000Z,"@DKShrewsbury Why do you keep buggering off to Europe to try to get European leaders to undermine our sovereignty?  Putting together a Brexit dictionary, can’t decide whether to enter your behaviour under hypocrisy  or just go straight to treachery?  #stopbrexit #RevokeA50Now",['revokea50now']
