t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
745909848831832064,1978165356,negative,leave,2016-06-23T09:22:20.000Z,"Today #EURef in the United Kingdom: 
- #Soros or #democracy? 

- #TTIP or #slavery?

#Brexit
#LeaveEU
#VoteLeave
#adiEu
#euXit
#No2EU","['adieu', 'euxit', 'ttip', 'leaveeu', 'slavery?', 'democracy?', 'brexit', 'euref', 'soros', 'voteleave', 'no2eu']"
739806040280182784,4835879128,negative,other,2016-06-06T13:07:59.000Z,"#annewill
#bbcqt
SCHWEIZ
#Brexit
#NuitDebout

THAT'S EXACTLY how a REGIME / FASCISTS act!!!

#NO2EU -REGIME https://t.co/uStEeHVLhR","['bbcqt', 'annewill', 'nuitdebout', 'brexit', 'no2eu']"
690985093578514432,45435232,positive,leave,2016-01-23T19:50:58.000Z,Best line from #bbcqt 'UK Staying in EU like person on dole not wanting a job as they'd lose their benefits' #Brexit #No2EU,"['bbcqt', 'brexit', 'no2eu']"
702996383259873280,31075190,negative,remain,2016-02-25T23:19:33.000Z,@cheekylatte Thats terrible! #bbcqt #Brexit #No2EU #labourLeave,"['bbcqt', 'brexit', 'no2eu', 'labourleave']"
695369490914119680,3135565264,neutral,leave,2016-02-04T22:13:00.000Z,"What do you think of #Cameron's #EURenegotiations ?

#bbcqt #EUdeal #EURef #VoteLeave #Brexit #StrongerIn #No2EU https://t.co/MkgHUDmOBW","['bbcqt', ""cameron's"", 'eurenegotiations', 'brexit', 'euref', 'no2eu', 'voteleave', 'eudeal', 'strongerin']"
698572259565445120,606785697,positive,other,2016-02-13T18:19:40.000Z,"I just supported @BrexitTheMovie with 30 pounds. Please pledge too. #No2EU 
#BetterOffOut #Brexit #BelieveInBritain https://t.co/ecyzE19BqD","['believeinbritain', 'brexit', 'no2eu', 'betteroffout']"
716274171957886976,3135565264,positive,leave,2016-04-02T14:40:44.000Z,"#Birmingham people support the vote to #LeaveEU

#VoteLeave #EUreferendum #StrongerIn #StayinEU #No2EU #Brexit https://t.co/D3aCU7jbny","['birmingham', 'eureferendum', 'leaveeu', 'stayineu', 'brexit', 'no2eu', 'voteleave', 'strongerin']"
727031176536440832,3135565264,positive,leave,2016-05-02T07:05:14.000Z,"People of #Bolton support the vote to #LeaveEU

#VoteLeave #EUreferendum #RemainInEU #No2EU #Brexit #INorOUT https://t.co/4b7xG2kUTI","['bolton', 'eureferendum', 'leaveeu', 'inorout', 'brexit', 'voteleave', 'no2eu', 'remainineu']"
706120558740709376,3131688450,positive,leave,2016-03-05T14:13:54.000Z,Then the EU will give full membership to Turkey &amp; they'll be free to go anywhere. #Brexit #BetterOffOut #No2EU https://t.co/6YFe94hbnF,"['brexit', 'betteroffout', 'no2eu']"
689884139043037184,275547016,negative,other,2016-01-20T18:56:10.000Z,Perhaps that's in lieu of the taxes they avoid! #Brexit #BetterOffOut #No2EU  https://t.co/M5OTuAKbw0,"['brexit', 'betteroffout', 'no2eu']"
