t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
962654449662595072,2546016482,positive,other,2018-02-11T11:48:00.000Z,". @A50Challenge needs to reach 10k followers ASAP to build a movement for their court case
Please follow and RT
#A50Challenge #fbpe #PCPEU #Brexit #BrexitReality #BrexitImpact https://t.co/0aII270REI","['a50challenge', 'pcpeu', 'fbpe', 'brexitreality', 'brexit', 'brexitimpact']"
988085752922820608,314593522,positive,other,2018-04-22T16:02:55.000Z,"PLEASE, #PCPEU, consider 'if you lie with dogs you get fleas', and whether Nigel Farage, Jacob Rees-f*****g-Mogg, and the other bigots in the band _really_ give a hoot whether it's called Brexit or Lexit.
[I PROMISE this is not a Liberal Democrat election broadcast. Just #ABTV] https://t.co/XkCPdMmiAJ","['abtv', 'pcpeu']"
961585438376038400,286332390,positive,remain,2018-02-08T13:00:08.000Z,"Labour voting Corbyn supporter on why he has changed his mind on Brexit

https://t.co/UakY0Xl3z5

#PCPEU
#FBPE
#radio4
#bbcqt 
#skypapers 
#tomorrowspaperstoday","['bbcqt', 'fbpe', 'radio4', 'pcpeu', 'skypapers', 'tomorrowspaperstoday']"
963529476238954496,703862191,negative,remain,2018-02-13T21:45:03.000Z,"Reading a tweet and discovering swear words not previously known to man.
#FBPE #PCPEU #brexidiot #Brexit https://t.co/urOIEESab5","['brexidiot', 'pcpeu', 'fbpe', 'brexit']"
960866647056711680,501139438,neutral,remain,2018-02-06T13:23:55.000Z,"Factors leading to #Carillion collapse include #Brexit, the calling of a general election &amp; non-payment of bills by Qatar. 
#BrexitConsequences #Brexitshambles #FBPE #StopToryBrexit #PCPEU 

Former Carillion directors were 'asleep at the wheel', claims MP. https://t.co/8ohGKjIoWx","['brexit', 'fbpe', 'brexitconsequences', 'pcpeu', 'stoptorybrexit', 'carillion', 'brexitshambles']"
977934334526189568,795375604313059328,negative,remain,2018-03-25T15:44:49.000Z,"Some #FBPE folk should be discrediting #Brexit, not Corbyn, or anyone #PCPEU. #LeaveEU was fought on lies and deception. It is that which should be brought down and annulled. IMO it IS possible to unite against Brexit and also stand with the opposition. #IStandWithCorbyn https://t.co/rt8FBt3Q3e","['brexit', 'fbpe', 'leaveeu', 'istandwithcorbyn', 'pcpeu']"
967661415535431680,501139438,neutral,remain,2018-02-25T07:23:54.000Z,"As #Corbyn shifts Labour towards soft #Brexit, #Tory jitters grow. 

#StopToryBrexit #MayMustGo #NoConfidence #FBPE #PCPEU #Brexshit #Brexitshambles  https://t.co/mCCOsRLdnv","['brexit', 'fbpe', 'noconfidence', 'pcpeu', 'stoptorybrexit', 'brexshit', 'maymustgo', 'corbyn', 'brexitshambles', 'tory']"
951131787324993536,45357732,negative,remain,2018-01-10T16:41:03.000Z,"Personally I don't care whether ppl use #FBPE or #PCPEU. The main point is that people follow both as this is the purpose and strength of the tag. Pro EU, No to #Brexit","['brexit', 'fbpe', 'pcpeu']"
952862957062455296,1015000626,neutral,other,2018-01-15T11:20:06.000Z,Some hard facts for #PCPEU. Corbyn is aiding the Tory government by supporting the far-right policy of #Brexit despite the vast majority of Left-leaning voters being against it. https://t.co/1sv65eysTT,"['brexit', 'pcpeu']"
961243620178358272,782666388292775808,neutral,other,2018-02-07T14:21:52.000Z,"@ReasonCoffeeShp @mikegalsworthy You can't really be #PCPEU, though.  I've never seen anyone make as much effort NOT to campaign against something as @jeremycorbyn with #Brexit","['brexit', 'pcpeu']"
