t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
771728544552644608,297915262,negative,leave,2016-09-02T15:16:37.000Z,"Follow the unfolding farce here:
@DExEUgov 
#Brexit 
#KillBrexitNow","['brexit', 'killbrexitnow']"
867651509248569344,852389079975165952,neutral,other,2017-05-25T08:00:14.000Z,"@nickreeves9876 Four questions the Prime Minister MUST answer

https://t.co/wLtE3sAVRZ

IMO #Brexit is dead in the water.

#killbrexitnow
#britin is great","['britin', 'killbrexitnow', 'brexit']"
870181799082721280,1512644065,negative,other,2017-06-01T07:34:42.000Z,"@grahambsi Theresa May has been ""dim-witted and downright dishonest"" on Brexit

https://t.co/c13M2omO4o

I expect Brexit to die
#killbrexitnow",['killbrexitnow']
866916536216412160,852389079975165952,neutral,other,2017-05-23T07:19:43.000Z,"@Arron_banks 
Theresa May's Article 50 notifcation is unlawful
https://t.co/741raT49hR
Unlawful Brexit will end in tears
#killbrexitnow",['killbrexitnow']
870135225988374528,1512644065,negative,other,2017-06-01T04:29:38.000Z,"Do you have @Nigel_Farage in mind?

#killbrexitnow

Theresa May ""dim-witted and downright dishonest"" on Brexit

https://t.co/c13M2omO4o

RT https://t.co/wYqwadnyqR",['killbrexitnow']
852390092127731712,852389079975165952,negative,remain,2017-04-13T05:16:49.000Z,"The ""Kill Brexit Now!"" blog will launch soon.
Watch out for it.
#killbrexitnow",['killbrexitnow']
870936593711890432,852389079975165952,negative,other,2017-06-03T09:33:59.000Z,"@AngusRobertson @NicolaSturgeon @NScot Why is @NicolaSturgeon so ineffective and feeble on #Brexit?

What has she actually achieved so far?

#killbrexitnow","['killbrexitnow', 'brexit?']"
870112165608534016,852389079975165952,positive,other,2017-06-01T02:58:00.000Z,"@MarkCasci @adamboultonSKY @georgeeaton The @DailyMailUK has sunk to new lows during this Election campaign.

#killbrexitnow
#britin is great without #brexit","['killbrexitnow', 'britin', 'brexit']"
852430129259270144,852389079975165952,neutral,other,2017-04-13T07:55:54.000Z,"@margarance @AngieMeader @WeAreOneEU UK Law already requires at least one Referendum on the Brexit treaty/treaties
See s2 of the European Union Act 2011
#killbrexitnow
#yes2eu","['killbrexitnow', 'yes2eu']"
866595643925696512,852389079975165952,negative,other,2017-05-22T10:04:36.000Z,"@ProfMarkElliott I think there is a possibility that Theresa May will have to resign re her dishonesty about #Brexit.
#killbrexitnow
#yes2eu","['killbrexitnow', 'yes2eu', 'brexit']"
855886919653261312,297915262,negative,other,2017-04-22T20:51:57.000Z,"The most frightening article I've read recently.

James Meek in the #LRB: https://t.co/OFO57a97JD 
#Brexit #KillBrexitNow #YouveBeenConned","['youvebeenconned', 'brexit', 'lrb', 'killbrexitnow']"
907866351406080000,852389079975165952,negative,other,2017-09-13T07:19:40.000Z,"@montie The national interest demands that #Brexit is killed. It will only lead to a #BrexitShambles.

#KillBrexitNow","['brexit', 'brexitshambles', 'killbrexitnow']"
929280587461996544,852389079975165952,positive,other,2017-11-11T09:32:11.000Z,"@WhatsOnShrews @LiveEUDebate With a little luck the legal challenge to @theresa_may's #Brexit strategy may help to encourage her to recognise that Brexit is doomed and resign.

https://t.co/KKv1aWYJNw

#KillBrexitNow","['brexit', 'killbrexitnow']"
912508685942968320,852389079975165952,negative,other,2017-09-26T02:46:38.000Z,"@BrexitCosts A propos of killing #Brexit take a look at the ""Kill Brexit Now"" Judicial Review announcement
https://t.co/xyp1tXABt1
RT
#KillBrexitNow","['brexit', 'killbrexitnow']"
929275049118519296,852389079975165952,neutral,remain,2017-11-11T09:10:11.000Z,"@WomaninHavana It's difficult to identify a leader in the coming constitutional crisis.

BTW the new legal challenge to #Brexit may interest you ...

https://t.co/KKv1aWYJNw

#KillBrexitNow","['brexit', 'killbrexitnow']"
929274121606828032,852389079975165952,positive,other,2017-11-11T09:06:30.000Z,"@remain_central Agreed. I'm not a Brexiteer. I've begun a legal challenge to the Prime Minister's #Brexit strategy.

https://t.co/KKv1aWYJNw

#KillBrexitNow","['brexit', 'killbrexitnow']"
910328158452404224,852389079975165952,neutral,leave,2017-09-20T02:22:00.000Z,"@Brexit_Newz Wouldn't it be more accurate to say that @theresa_may's Cabinet resembles a nest of vipers?

#KillBrexitNow
#Brexit","['brexit', 'killbrexitnow']"
930718609021775872,852389079975165952,positive,other,2017-11-15T08:46:22.000Z,"@ajhanlaurence You might be interested to learn that there are TWO active legal challenges to #Brexit

https://t.co/smpRxUBZa7

Please RT and help #KillBrexitNow","['brexit', 'killbrexitnow']"
929280220716204032,852389079975165952,positive,other,2017-11-11T09:30:44.000Z,"@nickreeves9876 It doesn't remove the legal right to oppose.

@theresa_may facing new legal challenge to #Brexit

https://t.co/KKv1aWYJNw

#KillBrexitNow","['brexit', 'killbrexitnow']"
