t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
991233314882236416,834361888880353280,positive,other,2018-05-01T08:30:13.000Z,@UKCISA has a page on their website dedicated to understanding more the impact of Brexit on EU students - click here to find out more: https://t.co/lEKQEj6CKt #Brexit #EUStudents #IAmEuropean,['iameuropean']
991233314882236416,834361888880353280,positive,other,2018-05-01T08:30:13.000Z,@UKCISA has a page on their website dedicated to understanding more the impact of Brexit on EU students - click here to find out more: https://t.co/lEKQEj6CKt #Brexit #EUStudents #IAmEuropean,['iameuropean']
991399788414472192,466519557,positive,remain,2018-05-01T19:31:43.000Z,@North_Hants4eu @TeamRanil @MariaMillerUK @kitmalthouse #basingstoke and #andover :-) hope to meet you 10/5 @north_hants4eu #StopBrexit #iameuropean... If it ain't broke don't brexit... Give Back my Future,['iameuropean']
991399788414472192,466519557,positive,remain,2018-05-01T19:31:43.000Z,@North_Hants4eu @TeamRanil @MariaMillerUK @kitmalthouse #basingstoke and #andover :-) hope to meet you 10/5 @north_hants4eu #StopBrexit #iameuropean... If it ain't broke don't brexit... Give Back my Future,['iameuropean']
991434826921250816,532428834,neutral,remain,2018-05-01T21:50:57.000Z,3/ B-Day – 332 #ExitFromBrexit #StopBrexit #IAmEuropean #FBPE #PeoplesVote  ... appeasing the Conservative Brexiteers and the DUP.  Shame on her.  The sooner we abandon Brexit the better.,['iameuropean']
991434826921250816,532428834,neutral,remain,2018-05-01T21:50:57.000Z,3/ B-Day – 332 #ExitFromBrexit #StopBrexit #IAmEuropean #FBPE #PeoplesVote  ... appeasing the Conservative Brexiteers and the DUP.  Shame on her.  The sooner we abandon Brexit the better.,['iameuropean']
991657918075371520,532428834,neutral,remain,2018-05-02T12:37:26.000Z,"1/ B-Day – 331  #ExitFromBrexit #StopBrexit #IAmEuropean #FBPE #PeoplesVote  A post of mine from a year ago: “Does the Brexit camp actually KNOW how complicated and expensive it is to get a visa to visit UK for those who need them? Reciprocal visa arrangements are such that, if..",['iameuropean']
991657918075371520,532428834,neutral,remain,2018-05-02T12:37:26.000Z,"1/ B-Day – 331  #ExitFromBrexit #StopBrexit #IAmEuropean #FBPE #PeoplesVote  A post of mine from a year ago: “Does the Brexit camp actually KNOW how complicated and expensive it is to get a visa to visit UK for those who need them? Reciprocal visa arrangements are such that, if..",['iameuropean']
991658335622529024,532428834,neutral,remain,2018-05-02T12:39:05.000Z,"3/ B-Day – 331  #ExitFromBrexit #StopBrexit #IAmEuropean #FBPE #PeoplesVote ..know how a post-Brexit government would control entry to UK by EU citizens – if it’s by visas, the above is what we’re faced with...",['iameuropean']
991658335622529024,532428834,neutral,remain,2018-05-02T12:39:05.000Z,"3/ B-Day – 331  #ExitFromBrexit #StopBrexit #IAmEuropean #FBPE #PeoplesVote ..know how a post-Brexit government would control entry to UK by EU citizens – if it’s by visas, the above is what we’re faced with...",['iameuropean']
991958679946760192,130237867,neutral,remain,2018-05-03T08:32:33.000Z,It's #LE2018 day! Vote for a #Remain party. Vote for #Europe and #citizensrights. Vote against #Brexit. #ABTV18 #ABTVtoStopBrexit #ABTV #StopBrexit #FBPE #Iameuropean @Emma_Forage @emmyzen @voiceseurope @jphcoleman @fish_in_a_hat @lunaperla,['iameuropean']
991958679946760192,130237867,neutral,remain,2018-05-03T08:32:33.000Z,It's #LE2018 day! Vote for a #Remain party. Vote for #Europe and #citizensrights. Vote against #Brexit. #ABTV18 #ABTVtoStopBrexit #ABTV #StopBrexit #FBPE #Iameuropean @Emma_Forage @emmyzen @voiceseurope @jphcoleman @fish_in_a_hat @lunaperla,['iameuropean']
992464134070513664,532428834,positive,remain,2018-05-04T18:01:03.000Z,1/ B-Day – 329 #ExitFromBrexit #StopBrexit #IAmEuropean #FBPE #PeoplesVote  One of the things that the Leave campaign was adamant about was that Brexit would give us an opportunity to make a bonfire of EU rules and regulations....,['iameuropean']
992464134070513664,532428834,positive,remain,2018-05-04T18:01:03.000Z,1/ B-Day – 329 #ExitFromBrexit #StopBrexit #IAmEuropean #FBPE #PeoplesVote  One of the things that the Leave campaign was adamant about was that Brexit would give us an opportunity to make a bonfire of EU rules and regulations....,['iameuropean']
992831266671165440,532428834,positive,remain,2018-05-05T18:19:54.000Z,"1/ B-Day – 328 #ExitFromBrexit #StopBrexit #IAmEuropean #FBPE #PeoplesVote It surely must be clear to everyone that there is no possible Brexit deal that we can agree with the EU (and, perhaps more importantly, with the rest of the world) that is better in ANY respect ...",['iameuropean']
992831266671165440,532428834,positive,remain,2018-05-05T18:19:54.000Z,"1/ B-Day – 328 #ExitFromBrexit #StopBrexit #IAmEuropean #FBPE #PeoplesVote It surely must be clear to everyone that there is no possible Brexit deal that we can agree with the EU (and, perhaps more importantly, with the rest of the world) that is better in ANY respect ...",['iameuropean']
992975396516884480,2781823882,positive,remain,2018-05-06T03:52:37.000Z,This resonates with me. Is it worth enduring the indignity of Brexit attitudes to stay and #ResistHostileEnvironment?  #IamEuropean 🇪🇺 https://t.co/DL9LDP7tRm,['iameuropean']
992975396516884480,2781823882,positive,remain,2018-05-06T03:52:37.000Z,This resonates with me. Is it worth enduring the indignity of Brexit attitudes to stay and #ResistHostileEnvironment?  #IamEuropean 🇪🇺 https://t.co/DL9LDP7tRm,['iameuropean']
993025937792028672,824551947743227904,positive,leave,2018-05-06T07:13:27.000Z,Beautiful #IamEuropean #Brexit https://t.co/YX4x7ehzuO,['iameuropean']
993025937792028672,824551947743227904,positive,leave,2018-05-06T07:13:27.000Z,Beautiful #IamEuropean #Brexit https://t.co/YX4x7ehzuO,['iameuropean']
