t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1044344921010970624,54153498,positive,leave,2018-09-24T21:56:46.000Z,"** RESIST **

IN WHATEVER WAY YOU CAN

#Chequers is NOT #BREXIT 
#Norway is NOT #BREXIT
#2ndref is NOT #BREXIT

#Canada+++ = #BREXIT
#WTO = #BREXIT
#NoDeal = #BREXIT 

#StandUp4Brexit

REAL #BREXIT = #FREEDOM https://t.co/1NCHNXfsdU","['2ndref', 'freedom', 'chequers', 'wto', 'standup4brexit', 'norway', 'brexit', 'canada', 'nodeal']"
1044344921010970624,54153498,positive,leave,2018-09-24T21:56:46.000Z,"** RESIST **

IN WHATEVER WAY YOU CAN

#Chequers is NOT #BREXIT 
#Norway is NOT #BREXIT
#2ndref is NOT #BREXIT

#Canada+++ = #BREXIT
#WTO = #BREXIT
#NoDeal = #BREXIT 

#StandUp4Brexit

REAL #BREXIT = #FREEDOM https://t.co/1NCHNXfsdU","['2ndref', 'freedom', 'chequers', 'wto', 'standup4brexit', 'norway', 'brexit', 'canada', 'nodeal']"
1032354197751119872,836721050008313728,negative,other,2018-08-22T19:49:55.000Z,Peter #Mandelson is a former Minister in the government of the hated 'Tony #Blair - the former #Labour PM. Peter Mandelson sits in the unelected House of #Lords. He thinks that we had no right to vote for #Brexit. (#UK #StandUp4Brexit #AbolishTheLords) (#LabourParty) https://t.co/GghqDXi0aa,"['abolishthelords', 'brexit', 'mandelson', 'blair', 'standup4brexit', 'lords', 'labour']"
1032354197751119872,836721050008313728,negative,other,2018-08-22T19:49:55.000Z,Peter #Mandelson is a former Minister in the government of the hated 'Tony #Blair - the former #Labour PM. Peter Mandelson sits in the unelected House of #Lords. He thinks that we had no right to vote for #Brexit. (#UK #StandUp4Brexit #AbolishTheLords) (#LabourParty) https://t.co/GghqDXi0aa,"['abolishthelords', 'brexit', 'mandelson', 'blair', 'standup4brexit', 'lords', 'labour']"
1043562309606563840,846078295,negative,other,2018-09-22T18:06:57.000Z,"Well done, Anglicans! Apparently 2/3 voted #Leave in #EUref. @AnglicanNews #AnglicanNews #AnglicanCommunion #Brexit @anglicanjournal @churchofengland #StandUp4Brexit #Brexit https://t.co/dW48OiTe4X","['anglicannews', 'euref', 'brexit', 'leave', 'anglicancommunion', 'standup4brexit']"
1043562309606563840,846078295,negative,other,2018-09-22T18:06:57.000Z,"Well done, Anglicans! Apparently 2/3 voted #Leave in #EUref. @AnglicanNews #AnglicanNews #AnglicanCommunion #Brexit @anglicanjournal @churchofengland #StandUp4Brexit #Brexit https://t.co/dW48OiTe4X","['anglicannews', 'euref', 'brexit', 'leave', 'anglicancommunion', 'standup4brexit']"
1029477078817746944,993743166,negative,remain,2018-08-14T21:17:17.000Z,"🔵 A weak Prime Minister leading an incompetent Government which cannot grasp #Brexit. 

🔴 An Opposition riddled with #Antisemitism which is failing to hold the Government to account.

What are we left with? Our country deserves better. #BrexitShambles #StandUp4Brexit #Corbyn","['antisemitism', 'brexit', 'standup4brexit', 'corbyn', 'brexitshambles']"
1029477078817746944,993743166,negative,remain,2018-08-14T21:17:17.000Z,"🔵 A weak Prime Minister leading an incompetent Government which cannot grasp #Brexit. 

🔴 An Opposition riddled with #Antisemitism which is failing to hold the Government to account.

What are we left with? Our country deserves better. #BrexitShambles #StandUp4Brexit #Corbyn","['antisemitism', 'brexit', 'standup4brexit', 'corbyn', 'brexitshambles']"
1029764414524846080,868560501076353024,positive,leave,2018-08-15T16:19:03.000Z,"To @theresa_may @10DowningStreet 
Why are you scuppering the biggest #Brexit advantage in being able to do free trade agreements for the UK that are independent of the constraints of the #EU? 
If you won't #StandUp4Brexit then step aside for @BorisJohnson
We #BackBoris4Brexit https://t.co/B7QgQKTlhN","['backboris4brexit', 'brexit', 'standup4brexit', 'eu?']"
1029764414524846080,868560501076353024,positive,leave,2018-08-15T16:19:03.000Z,"To @theresa_may @10DowningStreet 
Why are you scuppering the biggest #Brexit advantage in being able to do free trade agreements for the UK that are independent of the constraints of the #EU? 
If you won't #StandUp4Brexit then step aside for @BorisJohnson
We #BackBoris4Brexit https://t.co/B7QgQKTlhN","['backboris4brexit', 'brexit', 'standup4brexit', 'eu?']"
