,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
0,0,0,329535,709289221165600768,212852144,neutral,leave,2016-03-14T08:05:02.000Z,"bloggery! ""un eu br, 14/3/16"" https://t.co/tF8CZEOnjM #brexit #brexiteer #europeanunion #britain #language #agriculture #politics","['agriculture', 'britain', 'language', 'europeanunion', 'brexiteer', 'brexit', 'politics']"
1,1,1,633040,729964412426129408,51147107,negative,other,2016-05-10T09:20:52.000Z,'Even the most ardent #Brexit-eer will surely not claim UK will be sunnier outside EU?' - Exasperated Jane Ellison 2 Philip Hollobone #BBCdp,"['bbcdp', 'brexiteer']"
2,2,2,788103,735737837882998784,1638951108,neutral,other,2016-05-26T07:42:24.000Z,#brexiteer claims #bremainer is secretly for a #brexit. #FriendshipGoals  https://t.co/RCylb1AZ7D,"['bremainer', 'brexiteer', 'friendshipgoals', 'brexit']"
3,3,3,1147025,743060277332152320,475855731,neutral,remain,2016-06-15T12:39:10.000Z,"Are you a #Bremainian or a #Brexiteer ?

#Brexit #Bremain

#vernacularspectacular","['bremainian', 'vernacularspectacular', 'brexiteer', 'bremain', 'brexit']"
4,4,4,581622,725808733486460928,21442368,positive,remain,2016-04-28T22:07:41.000Z,#newsnight and if Capricorn rises in Uranus...all will be well with #brexit - another fantasy economic projection from a #brexiteer,"['brexit', 'brexiteer', 'newsnight']"
5,5,5,232313,704257826382815232,47205562,neutral,other,2016-02-29T10:52:04.000Z,#DavidCameron #progressive cuckoo in the Tory nest pushes agenda in new left-wing Mirror newspaper #HasNoShame #Brexit #LeaveEU #Brexiteer,"['brexit', 'hasnoshame', 'davidcameron', 'brexiteer', 'progressive', 'leaveeu']"
6,6,6,826909,737218657181437952,243393079,positive,other,2016-05-30T09:46:39.000Z,"Not even most ardent #Brexit-eer denies “some” immigration is beneficial &amp; desirable, you leftard straw-man numpties https://t.co/lt5xPdu5Hk",['brexiteer']
7,7,7,895128,739059523135115264,947090959,positive,other,2016-06-04T11:41:36.000Z,@stevebrookstein Have you watched Brexit the movie on Youtube and listened to Dan Hannan MEP. Could convince you to be a #brexiteer,['brexiteer']
8,8,8,1391594,745302976844169216,16680882,negative,remain,2016-06-21T17:10:51.000Z,For one horrible moment I thought Melanie Phillips was pro-Remain. Reassured that she is of course a #brexit-eer.,['brexiteer']
9,9,9,777841,735371711936397312,16446751,positive,remain,2016-05-25T07:27:33.000Z,#Brexit-eer @iainmartin1 used to cheer the Tory economic 'piffle'. Now it's turned against him he's less enthused… https://t.co/jgcIjrsfyx,['brexiteer']
10,10,10,333134,709438660047933440,937019478,positive,other,2016-03-14T17:58:51.000Z,#Brexiteer bungler Grayling finds a way to annoy PM of market that he thinks will be good for UK post-#Brexit: India https://t.co/NN3KspgvZF,['brexiteer']
11,11,11,1969307,746297332145209344,28109378,neutral,other,2016-06-24T11:02:04.000Z,"If any #brexit-eer genuinely thinks the NHS will now receive £350M extra a week as a result of this vote, they're more thick than I thought",['brexiteer']
12,12,12,360501,711495807304867840,243393079,positive,other,2016-03-20T10:13:14.000Z,Suits pro-#EU Labour Remainers like Umunna &amp; Reeves to push the “IDS resignation not about PIP but about EU” meme b/c IDS is a #Brexit-eer.,['brexiteer']
13,13,13,357939,711186326738092032,243393079,positive,leave,2016-03-19T13:43:28.000Z,"Am an ardent #Brexit-eer, but, as a Francophile turophile, this is just brilliant.
Thank you, @fbcci &amp; @topito_com   https://t.co/cfzj0EIMmM",['brexiteer']
14,14,14,438988,717633002973634560,243393079,negative,other,2016-04-06T08:40:15.000Z,"@sonofspeke Pathetic. I don’t, &amp; neither does any other #Brexit-eer I know. Read the subsequent tweets. Anti-EU ≠ pro-Putin, binary-brain.",['brexiteer']
15,15,15,424147,716352374240051200,520410021,neutral,other,2016-04-02T19:51:29.000Z,"@DanHannanMEP @price_annette but was remain material credible, unlike #Brexit-eer propaganda of unsupportable assertion and pious hope",['brexiteer']
16,16,16,391254,713691212889370624,1316707231,neutral,remain,2016-03-26T11:36:59.000Z,@FT @divor1987 Don't think Boris is a #brexit'eer in his bones. He knows that the arguments either way are unprovable.,['brexiteer']
17,17,17,683460,731900227934916608,225260105,negative,other,2016-05-15T17:33:07.000Z,@rubraduke @Daniel__Brookes I'm sorry but anyone who ties Eurovision to Brexit is a clown.... and I say that as a rabid #Brexiteer,['brexiteer']
18,18,18,1881129,746263028983824384,18072485,positive,other,2016-06-24T08:45:45.000Z,I heard a #brexit-eer on the radio this morning say: Scotland will want to move closer to England now. Is he mad? https://t.co/YaYh3rqOdF,['brexiteer']
19,19,19,884089,738709429638553600,19509690,negative,other,2016-06-03T12:30:27.000Z,Just seen a Merc with the number plate 'F4RAG' no sign of the #Brexit-eer General.....,['brexiteer']
20,20,20,1584256,746100502576963584,294116871,positive,other,2016-06-23T21:59:56.000Z,@MSmithsonPB @theobertram Don't underestimate the determination of the quiet #Brexit-eer. (To misquote IDS),['brexiteer']
21,21,21,299744,707539134198521856,937019478,positive,other,2016-03-09T12:10:49.000Z,Another #Brexiteer who won't miss the EU's protection of women's rights post-#Brexit. https://t.co/Y9AOxaBZuo,['brexiteer']
22,22,22,350109,710576044647047168,520410021,positive,other,2016-03-17T21:18:25.000Z,"at last honest #Brexit-eer, but be careful that desperation for trade deal doesn't force UK to accept free movement https://t.co/ObUYpUmFU6",['brexiteer']
23,23,23,593929,727106713489424384,501139438,negative,leave,2016-05-02T12:05:24.000Z,@MuppetV2 Typical #Brexit-eer. Misusing an urgent hashtag for self promotion.,['brexiteer']
24,24,24,959874,740486149936939008,985436882,positive,remain,2016-06-08T10:10:30.000Z,What are you? #Brexit or #Bremain ?  I'm a #Brexiteer and proud of it.  I do not respect anyone voting Bremain with an interest in finance.,"['brexiteer', 'bremain', 'brexit']"
25,25,25,960186,740489945702400000,115504925,positive,other,2016-06-08T10:25:35.000Z,"@davenwalters Thanks. I'm not a dogmatic #brexiteer. Used to be EU enthusiast, but been pushed towards #Brexit. @DouglasCarswell @vote_leave","['brexiteer', 'brexit']"
26,26,26,391749,713723481247125504,937019478,positive,remain,2016-03-26T13:45:12.000Z,"@Opensout @elviobr @MrMirth @JustAl58 You clearly haven't been following the pound lately, hit by #Brexit fears. Very #Brexiteer.","['brexiteer', 'brexit']"
27,27,27,356807,711107694866857984,246220733,neutral,remain,2016-03-19T08:31:00.000Z,#Brexit. Another #Brexiteer https://t.co/UbKbi27WoH,"['brexiteer', 'brexit']"
28,28,28,1567142,746049087754108928,2583066531,negative,leave,2016-06-23T18:35:38.000Z,"I'm working class #BREXITEER &amp; have IQ of 149
but establishment &amp; BBC hate me cos I can see thru their lies #Brexit  https://t.co/XNWto5OWBy","['brexiteer', 'brexit']"
29,29,29,635310,730033582719287296,937019478,positive,remain,2016-05-10T13:55:44.000Z,#Brexiteer hoping #Brexit delivers a pound going down the toilet: that's the pound in your pocket. https://t.co/BLICNxijHB,"['brexiteer', 'brexit']"
30,30,30,405901,714927332373430272,3033184810,negative,other,2016-03-29T21:28:53.000Z,@StuartMenez @LlanitoPol @GBCNewsroom Typical of a fascist government. I wonder how those #Brexiteer for #Brexit would handle this?,"['brexiteer', 'brexit']"
31,31,31,216234,703523387721781248,3293235761,negative,other,2016-02-27T10:13:41.000Z,Character assassination of youthful #Brexiteer; yet EUphile students constantly spout vile garbage on  @BBC #Brexit https://t.co/WermHdpBoc,"['brexiteer', 'brexit']"
32,32,32,844376,737747124058742784,24236661,negative,other,2016-05-31T20:46:35.000Z,@LBC Is that Alfie from the East End? Typical badly educated scared and gullible #Brexiteer #Brexit  #justawildguess,"['brexiteer', 'brexit', 'justawildguess']"
33,33,33,827363,737231038821367808,956610254,positive,leave,2016-05-30T10:35:51.000Z,"Cameron finally admits #Brexit are RIGHT! We can thrive outside EU! Closet #Brexiteer comes clean. #VoteLeave
https://t.co/0kpiv3gJyW","['brexiteer', 'brexit', 'voteleave']"
34,34,34,855939,738053456473272320,725755206978383872,neutral,leave,2016-06-01T17:03:51.000Z,#BrexitBusTour #Brexit #brexitthemovie #Brexiteer #BrexitEffect #brexitlive THIS SUMS UP EXACTLY WHAT HAS HAPPENED!! https://t.co/HpxLX0cZaN,"['brexiteer', 'brexiteffect', 'brexitthemovie', 'brexitlive', 'brexitbustour', 'brexit']"
35,35,35,855938,738053456473272320,1648727258,positive,other,2016-06-01T17:03:51.000Z,#BrexitBusTour #Brexit #brexitthemovie #Brexiteer #BrexitEffect #brexitlive THIS SUMS UP EXACTLY WHAT HAS HAPPENED!! https://t.co/HpxLX0cZaN,"['brexiteer', 'brexiteffect', 'brexitthemovie', 'brexitlive', 'brexitbustour', 'brexit']"
36,36,36,334630,709566104394399744,314666556,positive,leave,2016-03-15T02:25:17.000Z,I support #Brexit I am #Brexiteer. Join me. #EUreferendum,"['brexiteer', 'eureferendum', 'brexit']"
37,37,37,230038,704197761323950080,4873535621,positive,other,2016-02-29T06:53:24.000Z,"Some options for #UK on #Brexit looked at by top #Brexiteer @DanHannanMEP 
#VoteLeave 
https://t.co/H9RW6KX3vK https://t.co/185ITdwkOQ","['brexiteer', 'uk', 'brexit', 'voteleave']"
38,38,38,880318,738650688100524032,920443088,neutral,other,2016-06-03T08:37:02.000Z,@InnerLesbian @iVoteStay Also apparently opposite day. I really hope people won't #VoteLeave because of this #Brexit-eer nonsense.,"['brexiteer', 'voteleave']"
39,39,39,1116803,742802679991242752,20476313,positive,leave,2016-06-14T19:35:34.000Z,Take back &lt;insert what you want to take back here!&gt; #EUdebate #brexit #brexiteer #brexiteering #brexitisation #brexity #brexitly #mcbrexface,"['brexitly', 'brexiteering', 'eudebate', 'brexity', 'mcbrexface', 'brexitisation', 'brexiteer', 'brexit']"
40,40,40,824835,737154389039779840,501139438,negative,other,2016-05-30T05:31:16.000Z,"Facts to clarify another #Brexit-eer scare story. ""Does #EU really allow dangerous criminals free entry to the UK""? https://t.co/dslKcGDvJt","['eu', 'brexiteer']"
41,41,41,2227142,746429069944852480,384762719,positive,leave,2016-06-24T19:45:32.000Z,"Even as a committed #Brexit-eer, I don't expect to see undoubted benefits of leaving the #EU for at least three years, or more. #Realistic","['eu', 'realistic', 'brexiteer']"
42,42,42,866152,738310684556066816,1660911660,negative,other,2016-06-02T10:05:59.000Z,Confuse a #Brexit|eer: name ONE LAW imposed on the #UK by the #EU which directly altered govt policy https://t.co/cwMCJIbG9e,"['eu', 'uk', 'brexiteer']"
43,43,43,518568,722510789052129280,501139438,neutral,other,2016-04-19T19:42:50.000Z,Where do we even start with #Brexit-eer Michael #Gove’s hypocrisy on scaremongering? #EUref https://t.co/M060n4Hlk6,"['euref', 'goveâ\x80\x99s', 'brexiteer']"
44,44,44,872406,738428881779073024,920443088,negative,other,2016-06-02T17:55:39.000Z,Let's not forget what we've all achieved #INtogether. Don't buy #Brexit-eer misinformation in this #EUref. #VoteStay https://t.co/pdWMaIXYAx,"['euref', 'intogether', 'brexiteer', 'votestay']"
45,45,45,251031,705161227165700096,4364784082,positive,leave,2016-03-02T22:41:52.000Z,@A_Liberty_Rebel @V5M1000 I presume said councillor is now a committed #Brexiteer! #Euref #Brexit #VoteLeave,"['euref', 'voteleave', 'brexit', 'brexiteer']"
46,46,46,672715,731529744341172224,501139438,negative,remain,2016-05-14T17:00:56.000Z,"#Boris Johnson and the facts by The Economist. Basically, the #Brexit-eer ignores them! #EUreferendum #StrongerIn  https://t.co/0135bHPxB8","['eureferendum', 'boris', 'strongerin', 'brexiteer']"
47,47,47,122329,701026177281105920,20922683,neutral,other,2016-02-20T12:50:39.000Z,"What a terrifying cabinet splinter group...
#EUreferendum #eudeal #Brexit #brexiteer #EURO2016  https://t.co/fNNLOGKiMJ","['euro2016', 'eudeal', 'eureferendum', 'brexiteer', 'brexit']"
48,48,48,214138,703485055709089792,4873535621,positive,other,2016-02-27T07:41:22.000Z,"#Gloucestershire #Brexiteer MP @murrisonmp supports conversion of staunch europhile Michael Howard to #Brexit cause
 https://t.co/ng0jPSNmAJ","['gloucestershire', 'brexiteer', 'brexit']"
49,49,49,714856,733029300153225216,518615888,neutral,other,2016-05-18T20:19:38.000Z,Imagine #Brexit/eer #Gove to scrap #HumanRightsAct when only way relatives #UK service personnel got justice #Shame  https://t.co/DGxHbM4C7f,"['humanrightsact', 'gove', 'uk', 'shame', 'brexiteer']"
50,50,50,852406,737963861077282816,417812149,negative,leave,2016-06-01T11:07:49.000Z,"Retweeted UKIP Nonsense (@UKIPNFKN):

#Brexit-eer #Wetherspoon boss branded a #hypocrite for moaning about paying... https://t.co/6ZQBrA3vCd","['hypocrite', 'wetherspoon', 'brexiteer']"
