t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1088412295762464768,422508446,negative,other,2019-01-24T12:24:47.000Z,The secret bailout system the #EU doesn’t want you to know about. It was always about money and political union. #BetterOffOut #LeaveNow #Brexit. https://t.co/pg3tio4uSG via @YouTube,['betteroffout']
1088730385574313984,47316335,negative,remain,2019-01-25T09:28:46.000Z,"@NickBoles No deal is better than a bad deal. The backstop is worse than a bad deal. A WTO #Brexit puts farming, fishing, industry, trade &amp; taxation back under UK control. Barnier admitted b/stop not needed. EU will not remove it. Neighbours but not friends. #BetterOffOut",['betteroffout']
1092474892883320832,355528088,positive,other,2019-02-04T17:28:06.000Z,Entitled ‘Europe’s Last Chance’ @guyverhofstadt suggests only a USA model will save a broken Europe. Fat chance of that happening! No wonder the EU would rather #Brexit didn’t happen! Italy in recession and #Eurozonecrisis #betteroffout in the long-term! https://t.co/wJIzRjdmYV,['betteroffout']
1093416374511288320,1413120966,neutral,other,2019-02-07T07:49:13.000Z,European Parliament - Wikipedia I think this is that special place you’re referring to Mr Tusk #Brexit #BetterOffOut  https://t.co/y3aVEh6eTo,['betteroffout']
1097685595948830720,704702348724142080,negative,other,2019-02-19T02:33:34.000Z,@Reuters Brexit Betrayal??? They are the ones doing the betraying by not accepting the votes of 17.4 million people #betteroffout,['betteroffout']
1101050171587207168,968655666,negative,leave,2019-02-28T09:23:12.000Z,@guyverhofstadt We don’t want an extension! If @HouseofCommons forces EU elections on us be prepared for a whole host of new anti EU MEPs. #StandUp4Democracy #BREXIT #BetterOffOut,['betteroffout']
1101222524317323264,3426181779,negative,other,2019-02-28T20:48:04.000Z,Britain's economy is set to boom and become the largest in Europe - because of Brexit https://t.co/nnOjn2g6rm via @Telegraph -and the #EU is determined to try to stop it. UK PM is compliant to their will if accepting the treasonous W.A. @BetterOffOut #BetterOffOut #FBPE,['betteroffout']
1102005953535320064,3426181779,neutral,leave,2019-03-03T00:41:08.000Z,"""We must be prepared to stand up for what we believe in and fight for our independence."" https://t.co/R9MTJXoJnc
#BBC #UKLabour #Conservatives #BrexitParty #LeaveMnsLeave #BetteroffOut @BetterOffOut @brexitparty_uk 
ARE YOU COMING ON PART OF THE MARCH:  16 - 29th March? https://t.co/B4rS6lFumk",['betteroffout']
1104559012719325184,3426181779,negative,other,2019-03-10T01:46:05.000Z,"@nickreeves9876 ""..ensure that worst of the #Brexit crooks, liars...are brought to justice."" ?? You want to criminalize speaking of #EU corruption, failure, deceit, nepotism, centralism on an increasing basis? We both love UK. As a farmer/engineer let's find a better way? #EUfail #BetterOffOut",['betteroffout']
1105282331017924608,3426181779,negative,other,2019-03-12T01:40:17.000Z,"May should never have agreed to any potential reason for the need for any backstop = #Fail. Walls and borders are the #EU's and #Varadkar's problem, not ours. No need to play along. They used #blackmail. Government rolled over. @brexitparty_uk  #LeaveMeansLeave #BetterOffOut",['betteroffout']
