t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
878243931263127552,536924792,neutral,remain,2017-06-23T13:30:44.000Z,I was a #Remain voter on this day a year ago...and I still believe we should Remain. The UK's place is in the EU! I oppose #Brexit! #Yes2EU https://t.co/sdIrkKmNiy,['yes2eu']
896994093582225408,852389079975165952,negative,remain,2017-08-14T07:17:11.000Z,"So you don't like Britain's Blonde Brexit Buffoon then?

#yes2eu
#killbrexitnow https://t.co/9sia3auSKu",['yes2eu']
897711818138951680,852389079975165952,neutral,leave,2017-08-16T06:49:10.000Z,"The UK cannot lawfully leave the European Union in March 2019.

You need to adjust your #Brexit fantasies to legal reality.

#yes2eu https://t.co/G9CcT5tLUl",['yes2eu']
899957885752553472,536924792,neutral,other,2017-08-22T11:34:15.000Z,"By me, for @TheNewEuropean: #Brexit must not mean we slide back in time on #LGBT+ Rights! https://t.co/0ziWKe50DD #Yes2EU #ExitFromBrexit https://t.co/5ClrDjFQtN",['yes2eu']
901815305281863680,536924792,neutral,other,2017-08-27T14:34:58.000Z,We must not slide back in time on #LGBT rights: My latest piece for national newspaper @TheNewEuropean. #Brexit #Yes2EU #TheNewEuropean https://t.co/6EIsCTU0Ga,['yes2eu']
902021820257374208,852389079975165952,positive,leave,2017-08-28T04:15:35.000Z,"@davidallengreen What length do you estimate the single formal legal document would need to be?

In my estimation it would be huge.
#Brexit
#yes2eu",['yes2eu']
902607548116819968,852389079975165952,neutral,other,2017-08-29T19:03:03.000Z,"@Francesbarnby @margarance @JolyonMaugham #Brexit will fail.

The UK will continue as a Member State of the European Union on 1st April 2019.

#yes2eu",['yes2eu']
903132238203760640,17960088,neutral,remain,2017-08-31T05:47:59.000Z,Open access to 500m customers was our #1 USP #yes2eu #yestoeu #betteroffin #ukineu #bremain #strongerin #Brexit #Brexshit #brexitshambles https://t.co/Uw8rmhRrA0,['yes2eu']
913153617451995136,780840449963532160,negative,other,2017-09-27T21:29:22.000Z,KinaRestall theresa_may No Deal.      #brexit #brexshit #yes2eu #yestoeu #betteroffin #ukineu #bremain… https://t.co/IFhWShq2bL,['yes2eu']
913153635193892864,780840449963532160,negative,remain,2017-09-27T21:29:26.000Z,UKIPNFKN ScotNational No Deal.      #brexit #brexshit #yes2eu #yestoeu #betteroffin #ukineu #bremain #StrongerIN… https://t.co/LgyWruKPio,['yes2eu']
916057022130294784,17960088,negative,remain,2017-10-05T21:46:28.000Z,@MichelBarnier @SwedishPM @AnnLinde The suspense is killing me.  And my clients.  #Brexit #nodeal #yes2eu #yestoeu #betteroffin #ukineu #bremain #strongerin #leadnotleave https://t.co/B0h9GTG5No,['yes2eu']
916379006848655360,17960088,negative,other,2017-10-06T19:05:55.000Z,Deal or No Deal?  The suspense is killing me.  And my clients. https://t.co/M8985AJ33m #Brexit #yes2eu #betteroffin #brexitshambles #nodeal https://t.co/yFpxkW03nL,['yes2eu']
925415512716316672,536924792,positive,other,2017-10-31T17:33:46.000Z,A Remainer just schooled @IainDale-on why #Brexit is a disaster on Iain's own radio show. Was beautiful to listen to! #Yes2EU #LBC,['yes2eu']
930138966673821696,536924792,negative,remain,2017-11-13T18:23:05.000Z,"Not only Parliament, but the people should get a vote on the proposed final #Brexit deal. Why is the government scared of the verdict of voters?! #Yes2EU #CNN",['yes2eu']
939192960125677568,536924792,neutral,leave,2017-12-08T18:00:25.000Z,"@IainDale Mr Dale, please don't pretend to speak for everyone. I very much feel part of the European project...which is why Brexit is so painful! #Yes2EU #LBC",['yes2eu']
940246205770223616,536924792,positive,other,2017-12-11T15:45:39.000Z,"Mrs May's speech on the latest on #Brexit, in the Commons, is being shown live on @cnni. Viewers around the rest of the world must be utterly bemused by the national act of self-harm that is our leaving of the world's greatest union. #Yes2EU #CNN",['yes2eu']
