t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
700233885125369856,197841824,negative,other,2016-02-18T08:22:22.000Z,"Q.@BBCr4today more #traitorquislings #neilkinnock #AA, #emmathompson Kinnock must be in danger of losing pensions! #brexit #leaveEU #R4today","['aa', 'leaveeu', 'emmathompson', 'brexit', 'r4today', 'neilkinnock', 'traitorquislings']"
739208171949072384,2244603334,positive,leave,2016-06-04T21:32:16.000Z,#ProfessorCathyWarwick who supports the #abortion of babies  up to 9 months wants to stay in #EU. #LeaveEU #Brexit  https://t.co/vaAATY8mts,"['abortion', 'leaveeu', 'eu', 'professorcathywarwick', 'brexit']"
735922187199238144,23681896,neutral,leave,2016-05-26T19:54:56.000Z,"Brit Pics
#ACTAOT #Brexit #Britain #British #BritPics #LeaveEU  #VoteOut https://t.co/KJ4P6DpI2k","['actaot', 'britpics', 'leaveeu', 'brexit', 'britain', 'voteout', 'british']"
735922128890036224,23681896,neutral,leave,2016-05-26T19:54:42.000Z,"Brit Pics
#ACTAOT #Brexit #Britain #British #BritPics #LeaveEU  #VoteOut https://t.co/4VEtx2I6T0","['actaot', 'britpics', 'leaveeu', 'brexit', 'britain', 'voteout', 'british']"
735921913730600960,23681896,neutral,leave,2016-05-26T19:53:51.000Z,"Brit Pics
#ACTAOT #Brexit #Britain #British #BritPics #LeaveEU  #VoteOut https://t.co/PVS2CnwNMW","['actaot', 'britpics', 'leaveeu', 'brexit', 'britain', 'voteout', 'british']"
735922071268646912,23681896,neutral,leave,2016-05-26T19:54:29.000Z,"Brit Pics
#ACTAOT #Brexit #Britain #British #BritPics #LeaveEU  #VoteOut https://t.co/yv8PN7OkhK","['actaot', 'britpics', 'leaveeu', 'brexit', 'britain', 'voteout', 'british']"
735921844314857472,23681896,neutral,leave,2016-05-26T19:53:35.000Z,"Brit Pics
#ACTAOT #Brexit #Britain #British #BritPics #LeaveEU  #VoteOut https://t.co/IGPFXM4lfX","['actaot', 'britpics', 'leaveeu', 'brexit', 'britain', 'voteout', 'british']"
745909848831832064,1978165356,negative,leave,2016-06-23T09:22:20.000Z,"Today #EURef in the United Kingdom: 
- #Soros or #democracy? 

- #TTIP or #slavery?

#Brexit
#LeaveEU
#VoteLeave
#adiEu
#euXit
#No2EU","['adieu', 'euxit', 'ttip', 'leaveeu', 'slavery?', 'democracy?', 'brexit', 'euref', 'soros', 'voteleave', 'no2eu']"
744820688981098496,1978165356,neutral,leave,2016-06-20T09:14:25.000Z,"@glopol_analysis @DaiIyLONDON @business No, not at all. #Britons are wise ppl. Supporters of #Brexit will win!
#LeaveEu
#VoteLeave
#adiEU","['adieu', 'leaveeu', 'brexit', 'britons', 'voteleave']"
737417754794430464,701399449055137792,negative,leave,2016-05-30T22:57:47.000Z,John Tyndall - The White Problem https://t.co/lPngijMhB0 #euref #brexit #voteleave #leaveeu #ukip #afd #auspol #brexitthemovie #bnp #pegida,"['afd', 'pegida', 'euref', 'brexitthemovie', 'bnp', 'leaveeu', 'voteleave', 'brexit', 'ukip', 'auspol']"
