t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
721576838414385152,98583506,negative,remain,2016-04-17T05:51:39.000Z,Today's Project Fear Scare #1: When we '#Brexit the Moon  will be so upset it'll crash into UK and all #Brexiteers will be annihilated.,"['1', 'brexiteers']"
745336198923694080,2366247835,positive,remain,2016-06-21T19:22:52.000Z,Rightwing #Brexit-eers like @BorisJohnson  promise a social paradise after #Leave #deadparrot #BBCDebate,"['bbcdebate', 'brexiteers', 'leave', 'deadparrot']"
745337647116263424,356756564,negative,other,2016-06-21T19:28:37.000Z,"How can #Brexit-eers accuse #VoteRemain of project fear when they stoke up fear with false claims about immigration, Turkey etc? #BBCDebate","['bbcdebate', 'brexiteers', 'voteremain']"
742850436420489216,742830379195850752,positive,leave,2016-06-14T22:45:20.000Z,Vote #bremain and vote for this great leader #brexiteers are #brainwashed plebs #strongerin #brexit #eudebate #bbcqt https://t.co/duhF9KMLfe,"['bbcqt', 'brainwashed', 'eudebate', 'brexiteers', 'strongerin', 'bremain', 'brexit']"
725818199388880896,102040635,positive,other,2016-04-28T22:45:18.000Z,So there you go #brexiteers - Yes a vote for #brexit will instigate another Scottish referendum - we can't actually afford anyway #bbcqt,"['bbcqt', 'brexiteers', 'brexit']"
745409797701373952,2904636286,neutral,leave,2016-06-22T00:15:19.000Z,"3 #brexiteers
@BorisJohnson
@andrealeadsom &amp;
@GiselaStuart
trounce #ProjectFear in #EUref
#UK #VoteLeave #Brexit #LeaveEU
#BBCDebate #bbcqt","['bbcqt', 'euref', 'projectfear', 'leaveeu', 'bbcdebate', 'brexiteers', 'brexit', 'voteleave', 'uk']"
742839830095245312,2632267539,negative,remain,2016-06-14T22:03:11.000Z,The VIX Breaks Out - Market Risk Continues To Surge #Brexit #vix #VOLATILITY #uk #Brexiteers #bonds #treasuries  https://t.co/21tX4foLsF,"['bonds', 'brexiteers', 'uk', 'brexit', 'vix', 'treasuries', 'volatility']"
731926722644447232,501139438,negative,remain,2016-05-15T19:18:23.000Z,#Boris is wrong about #TTIP.  How do I know?He told us how wonderful it was! He's using poor #Brexit-eers! How sad😢 https://t.co/9SZdbpcGsQ,"['boris', 'ttip', 'brexiteers']"
736544196895576064,235730351,positive,leave,2016-05-28T13:06:35.000Z,"Don't be left out to dry like peppa, #VoteLeave ! #Brexit #BorisvDave #Brexiteers #EUreferendum #peppadoespolitics https://t.co/jMifAHTy8h","['borisvdave', 'eureferendum', 'brexiteers', 'brexit', 'voteleave', 'peppadoespolitics']"
746489987449774080,37074284,positive,leave,2016-06-24T23:47:36.000Z,"Another @Lin_Manuel gem, with respect to  #Brexit and the #Brexiteers: ""You have no control who lives, who dies, who tells your story""","['brexit', 'brexiteers']"
702816549611180032,302543344,neutral,remain,2016-02-25T11:24:57.000Z,David asks Boris is the plural of anus aye/nay? Fisted or punched it’s all the same to Boris. #Brexit of the #brexiteers,"['brexit', 'brexiteers']"
